LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,fix.started,training_feedback_txt.stopped,fix.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,prac_fback_text.started,prac_fback_text.stopped,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,star.started,hegagon.started,triangle.started,circle.started,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,vts_fback.started,blockNum,norew_fback.started,norew_fback.stopped,top_target.stopped,tgt_fix.stopped,bot_target.stopped,target_resp.stopped,key_resp_2.keys,key_resp_2.rt,rewExpectancy,feedbk_text.started,feedbk_text.stopped,text_3.started,debrief.started,text_3.stopped,button.started,debrief.index,debrief.itemText,debrief.type,debrief.granularity,debrief.font,debrief.markerColor,debrief.response,debrief.rt,button.numClicks,button.timesOn,button.timesOff,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,0,59,0,,,,,,,,,,,,,,,,,,,,,,,,0,783,,,1180.5623342308681,,,160,S,star,0.01643292000517249,,,,,1,0,,,,,,,,,,,,1176.620727136964,1176.620727136964,1176.620727136964,1176.620727136964,1178.0928592409473,1178.0928592409473,1178.0928592409473,1178.0928592409473,1178.1261162038427,1178.1261162038427,1178.1261162038427,1178.1261162038427,repeat,number,numRpt,f,0.9239279052708298,noRew,,0,1179.0485631939955,,,,,,,,,,,,,,,,,,,,,,,,,,67592,2022-11-15_14h01.31.669,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.06698631814396,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,0,60,0,,,,,,,,,,,,,,,,,,,,,,,,0,783,,,1186.232842976926,,,181,B,star,0.017473043175414205,,,,,1,0,,,,,,,,,,,,1181.5583565980196,1181.5583565980196,1181.5583565980196,1181.5583565980196,1183.0299256639555,1183.0299256639555,1183.0299256639555,1183.0299256639555,1183.063097934937,1183.063097934937,1183.063097934937,1183.063097934937,switch,letter,lettSwt,j,1.6570099561940879,noRew,,0,1184.7192490580492,,,,,,,,,,,,,,,,,,,,,,,,,,67592,2022-11-15_14h01.31.669,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.06698631814396,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,0,61,0,,,,,,,,,,,,,,,,,,,,,,,,0,783,,,1191.3199656459037,,,125,W,triangle,0.017383408034220338,,,,,1,0,,,,,,,,,,,,1187.229083199054,1187.229083199054,1187.229083199054,1187.229083199054,1188.70038754493,1188.70038754493,1188.70038754493,1188.70038754493,1188.7338180239312,1188.7338180239312,1188.7338180239312,1188.7338180239312,repeat,letter,lettRpt,k,1.0831397571600974,noRew,,0,1189.8060129329097,,,,,,,,,,,,,,,,,,,,,,,,,,67592,2022-11-15_14h01.31.669,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.06698631814396,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,0,62,0,,,,,,,,,,,,,,,,,,,,,,,,0,783,,,1196.490096974885,,,132,D,star,0.01688244310207665,,,,,1,0,,,,,,,,,,,,1192.3159057500307,1192.3159057500307,1192.3159057500307,1192.3159057500307,1193.7872240459546,1193.7872240459546,1193.7872240459546,1193.7872240459546,1193.8206964610144,1193.8206964610144,1193.8206964610144,1193.8206964610144,switch,number,numSwt,d,1.1613121242262423,noRew,,0,1194.9765267679468,,,,,,,,,,,,,,,,,,,,,,,,,,67592,2022-11-15_14h01.31.669,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.06698631814396,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,0,63,0,,,,,,,,,,,,,,,,,,,,,,,,0,783,,,1201.277046808973,,,167,F,circle,0.017101092962548137,,,,,1,0,,,,,,,,,,,,1197.48632833804,1197.48632833804,1197.48632833804,1197.48632833804,1198.9599174440373,1198.9599174440373,1198.9599174440373,1198.9599174440373,1198.9927762029693,1198.9927762029693,1198.9927762029693,1198.9927762029693,repeat,number,numRpt,f,0.7695958260446787,noRew,,0,1199.7632481209002,,,,,,,,,,,,,,,,,,,,,,,,,,67592,2022-11-15_14h01.31.669,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.06698631814396,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,783,,,1255.7832374810241,,,139,B,star,0.017217316897585988,,,,,1,0,,,,,,,,,,,,1251.658988290932,1251.658988290932,1251.658988290932,1251.658988290932,1253.130863702856,1253.130863702856,1253.130863702856,1253.130863702856,1253.1642552099656,1253.1642552099656,1253.1642552099656,1253.1642552099656,switch,letter,lettSwt,j,1.118741431972012,Hi,,0,,,,,,,space,10.590157058089972,low,1254.273829487851,,,,,,,,,,,,,,,,,67592,2022-11-15_14h01.31.669,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.06698631814396,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,0,783,,,1260.4706784798764,,,181,D,circle,0.01663371385075152,,,,,0,0,,,,,,,,,,,,1256.7794092600234,1256.7794092600234,1256.7794092600234,1256.7794092600234,1258.251556077972,1258.251556077972,1258.251556077972,1258.251556077972,1258.2842942399438,1258.2842942399438,1258.2842942399438,1258.2842942399438,switch,number,NA,d,0.677807838190347,Hi,,0,,,,,,,,,low,1258.9567834709305,,,,,,,,,,,,,,,,,67592,2022-11-15_14h01.31.669,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.06698631814396,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,0,783,,,1265.707684573019,,,167,H,hexagon,0.016408358933404088,,,,,1,1,,,,,,,,,,,,1261.465428500902,1261.465428500902,1261.465428500902,1261.465428500902,1262.9377124230377,1262.9377124230377,1262.9377124230377,1262.9377124230377,1262.9711854069028,1262.9711854069028,1262.9711854069028,1262.9711854069028,switch,letter,lettSwt,j,1.224144307198003,Hi,,0,,,,,,,,,low,1264.1937161178794,,,,,,,,,,,,,,,,,67592,2022-11-15_14h01.31.669,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.06698631814396,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,10,793,,,1270.611482184846,,,132,U,triangle,0.016198306111618876,,,,,1,0,,,,,,,,,,,,1266.703074999852,1266.703074999852,1266.703074999852,1266.703074999852,1268.1748197020497,1268.1748197020497,1268.1748197020497,1268.1748197020497,1268.2084259160329,1268.2084259160329,1268.2084259160329,1268.2084259160329,repeat,letter,lettRpt,k,0.9023175991605967,Lo,,0,,,,,,,,,low,1269.0970082359854,,,,,,,,,,,,,,,,,67592,2022-11-15_14h01.31.669,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.06698631814396,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,1,794,,,1274.964491658844,,,125,Y,triangle,0.016535932198166847,,,,,1,0,,,,,,,,,,,,1271.606687024003,1271.606687024003,1271.606687024003,1271.606687024003,1273.078433491988,1273.078433491988,1273.078433491988,1273.078433491988,1273.111897942843,1273.111897942843,1273.111897942843,1273.111897942843,repeat,letter,lettRpt,k,0.3537936662323773,Lo,,0,,,,,,,,,low,1273.4650874738581,,,,,,,,,,,,,,,,,67592,2022-11-15_14h01.31.669,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.06698631814396,
