LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,training_feedback_txt.stopped,fix.started,fix.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,prac_fback_text.started,prac_fback_text.stopped,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,top_target_prac2.stopped,tgt_fix_prac2.stopped,bott_target_prac2.stopped,target_resp_prac2.stopped,star.started,hegagon.started,triangle.started,circle.started,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,vts_fback.started,vts_fback.stopped,top_target.stopped,tgt_fix.stopped,bot_target.stopped,target_resp.stopped,blockNum,norew_fback.started,norew_fback.stopped,key_resp_2.keys,key_resp_2.rt,rewExpectancy,feedbk_text.started,feedbk_text.stopped,text_3.started,debrief.started,text_3.stopped,button.started,debrief.index,debrief.itemText,debrief.type,debrief.granularity,debrief.font,debrief.markerColor,debrief.response,debrief.rt,button.numClicks,button.timesOn,button.timesOff,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.558218863006914,space,36.705069266987266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53658,2022-11-22_14h05.45.831,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.95662174138107,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,0,0,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.82693437000853,78.82693437000853,78.82693437000853,78.82693437000853,78.82693437000853,78.82693437000853,78.82693437000853,78.82693437000853,78.82693437000853,78.82693437000853,a,3.3164974869869184,1,1,0,82.16392257899861,83.66554276901297,83.66554276901297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53658,2022-11-22_14h05.45.831,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.95662174138107,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.16627391500515,84.16627391500515,84.16627391500515,84.16627391500515,84.16627391500515,84.16627391500515,84.16627391500515,84.16627391500515,84.16627391500515,84.16627391500515,l,0.7443114089837763,1,2,0,84.9337953350041,,86.43508205999387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53658,2022-11-22_14h05.45.831,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.95662174138107,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.93578475300455,86.93578475300455,86.93578475300455,86.93578475300455,86.93578475300455,86.93578475300455,86.93578475300455,86.93578475300455,86.93578475300455,86.93578475300455,l,0.630949549988145,1,3,0,87.58654668199597,89.08818269500625,89.08818269500625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53658,2022-11-22_14h05.45.831,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.95662174138107,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,0,3,3,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.58886818500469,89.58886818500469,89.58886818500469,89.58886818500469,89.58886818500469,89.58886818500469,89.58886818500469,89.58886818500469,89.58886818500469,89.58886818500469,l,0.7013688320002984,1,4,0,90.322906943009,,91.82448950200342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53658,2022-11-22_14h05.45.831,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.95662174138107,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,0,4,4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.32504573001643,92.32504573001643,92.32504573001643,92.32504573001643,92.32504573001643,92.32504573001643,92.32504573001643,92.32504573001643,92.32504573001643,92.32504573001643,a,0.8891085849900264,10,14,0,93.24269281001762,94.74453790701227,94.74453790701227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53658,2022-11-22_14h05.45.831,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.95662174138107,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,0,5,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.24486017500749,95.24486017500749,95.24486017500749,95.24486017500749,95.24486017500749,95.24486017500749,95.24486017500749,95.24486017500749,95.24486017500749,95.24486017500749,l,0.8381289139797445,1,15,0,96.11270428699208,,97.61409499999718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53658,2022-11-22_14h05.45.831,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.95662174138107,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,0,6,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.11479980300646,98.11479980300646,98.11479980300646,98.11479980300646,98.11479980300646,98.11479980300646,98.11479980300646,98.11479980300646,98.11479980300646,98.11479980300646,a,0.81594445797964,10,25,0,98.94905727700097,,100.45076824200805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53658,2022-11-22_14h05.45.831,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.95662174138107,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,0,7,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.95131797000067,100.95131797000067,100.95131797000067,100.95131797000067,100.95131797000067,100.95131797000067,100.95131797000067,100.95131797000067,100.95131797000067,100.95131797000067,a,0.65641657699598,1,26,0,101.63523651400465,,103.13709241800825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53658,2022-11-22_14h05.45.831,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.95662174138107,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.63769003201742,103.63769003201742,103.63769003201742,103.63769003201742,103.63769003201742,103.63769003201742,103.63769003201742,103.63769003201742,103.63769003201742,103.63769003201742,a,0.8175554529880174,1,27,0,104.47165716000018,105.97352746501565,105.97352746501565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53658,2022-11-22_14h05.45.831,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.95662174138107,
