LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,training_feedback_txt.stopped,fix.started,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,prac_fback_text.started,prac_fback_text.stopped,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,star.started,hegagon.started,triangle.started,circle.started,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,vts_fback.started,vts_fback.stopped,blockNum,norew_fback.started,norew_fback.stopped,fix.stopped,key_resp_2.keys,key_resp_2.rt,rewExpectancy,feedbk_text.started,feedbk_text.stopped,text_3.started,debrief.started,text_3.stopped,button.started,debrief.index,debrief.itemText,debrief.type,debrief.granularity,debrief.font,debrief.markerColor,debrief.response,debrief.rt,button.numClicks,button.timesOn,button.timesOff,participant,date,expName,psychopyVersion,frameRate,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,0,9,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,654.81527632894,654.81527632894,654.81527632894,654.81527632894,654.81527632894,654.81527632894,654.81527632894,654.81527632894,654.81527632894,654.81527632894,a,1.3180990151595324,1,55,0,656.1498207268305,657.651448833989,657.651448833989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63591,2022-11-17_11h26.51.896,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.082920153211575,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,0,10,10,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,658.152187513886,658.152187513886,658.152187513886,658.152187513886,658.152187513886,658.152187513886,658.152187513886,658.152187513886,658.152187513886,658.152187513886,a,1.1754682371392846,10,65,0,659.3533340590075,,660.8551817277912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63591,2022-11-17_11h26.51.896,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.082920153211575,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,0,11,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,661.3555062538944,661.3555062538944,661.3555062538944,661.3555062538944,661.3555062538944,661.3555062538944,661.3555062538944,661.3555062538944,661.3555062538944,661.3555062538944,l,1.5378612731583416,10,75,0,662.9238385038916,,664.425653261831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63591,2022-11-17_11h26.51.896,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.082920153211575,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,1,0,12,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,664.9260131928604,664.9260131928604,664.9260131928604,664.9260131928604,664.9260131928604,664.9260131928604,664.9260131928604,664.9260131928604,664.9260131928604,664.9260131928604,l,1.2859030549880117,10,85,0,666.2441588598303,,667.7458435939625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63591,2022-11-17_11h26.51.896,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.082920153211575,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,1,1,13,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,668.2464023169596,668.2464023169596,668.2464023169596,668.2464023169596,668.2464023169596,668.2464023169596,668.2464023169596,668.2464023169596,668.2464023169596,668.2464023169596,l,1.780432510189712,10,95,0,670.0485787929501,,671.5500473328866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63591,2022-11-17_11h26.51.896,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.082920153211575,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,1,2,14,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,672.0506580069195,672.0506580069195,672.0506580069195,672.0506580069195,672.0506580069195,672.0506580069195,672.0506580069195,672.0506580069195,672.0506580069195,672.0506580069195,l,1.3966727962251753,10,105,0,673.4689665688202,,674.9704718748108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63591,2022-11-17_11h26.51.896,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.082920153211575,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,1,3,15,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,675.4710784947965,675.4710784947965,675.4710784947965,675.4710784947965,675.4710784947965,675.4710784947965,675.4710784947965,675.4710784947965,675.4710784947965,675.4710784947965,a,1.8124160091392696,10,115,0,677.3063676420134,,678.8081027928274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63591,2022-11-17_11h26.51.896,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.082920153211575,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,1,4,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,679.3087972239591,679.3087972239591,679.3087972239591,679.3087972239591,679.3087972239591,679.3087972239591,679.3087972239591,679.3087972239591,679.3087972239591,679.3087972239591,l,1.992037270218134,10,125,0,681.3277319029439,,682.8293251339346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63591,2022-11-17_11h26.51.896,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.082920153211575,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,1,5,17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,683.3298874178436,683.3298874178436,683.3298874178436,683.3298874178436,683.3298874178436,683.3298874178436,683.3298874178436,683.3298874178436,683.3298874178436,683.3298874178436,l,1.3016797602176666,10,135,0,684.6479198839515,686.1497804969549,686.1497804969549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63591,2022-11-17_11h26.51.896,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.082920153211575,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,1,6,18,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,686.650272401981,686.650272401981,686.650272401981,686.650272401981,686.650272401981,686.650272401981,686.650272401981,686.650272401981,686.650272401981,686.650272401981,a,0.871288632042706,10,145,0,687.5512896769214,,689.0527607728727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63591,2022-11-17_11h26.51.896,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.082920153211575,
