LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,fix.started,training_feedback_txt.stopped,fix.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,top_target_prac1.stopped,tgt_fix_prac1.stopped,bott_target_prac1.stopped,target_resp_prac1.stopped,acc,E1,target_resp_prac1.keys,pracBlock,prac_fback_text.started,prac_fback_text.stopped,target_resp_prac1.rt,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,star.started,hegagon.started,triangle.started,circle.started,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,vts_fback.started,vts_fback.stopped,blockNum,norew_fback.started,norew_fback.stopped,key_resp_2.keys,key_resp_2.rt,rewExpectancy,feedbk_text.started,feedbk_text.stopped,text_3.started,text_3.stopped,button.started,debrief.index,debrief.itemText,debrief.type,debrief.granularity,debrief.font,debrief.markerColor,debrief.response,debrief.rt,button.numClicks,button.timesOn,button.timesOff,participant,date,expName,psychopyVersion,frameRate,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,0,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.8786037539976,100.8786037539976,100.8786037539976,100.8786037539976,100.8786037539976,100.8786037539976,100.8786037539976,100.8786037539976,100.8786037539976,100.8786037539976,a,1.070733584001573,10,82,0,101.98005563499828,103.48148284499985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32144,2022-10-25_13h59.32.778,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94268795621936,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,0,10,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.98209715099802,103.98209715099802,103.98209715099802,103.98209715099802,103.98209715099802,103.98209715099802,103.98209715099802,103.98209715099802,103.98209715099802,103.98209715099802,l,1.1279972710035508,1,83,0,105.13329338399853,106.63491276399873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32144,2022-10-25_13h59.32.778,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94268795621936,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,0,11,11,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.13554792399736,107.13554792399736,107.13554792399736,107.13554792399736,107.13554792399736,107.13554792399736,107.13554792399736,107.13554792399736,107.13554792399736,107.13554792399736,a,1.2936083620043064,1,84,0,108.45393268399857,109.9554553229973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32144,2022-10-25_13h59.32.778,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94268795621936,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,1,0,12,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.45598985499964,110.45598985499964,110.45598985499964,110.45598985499964,110.45598985499964,110.45598985499964,110.45598985499964,110.45598985499964,110.45598985499964,110.45598985499964,a,1.05367105500045,10,94,0,111.54046816999835,113.04215352100073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32144,2022-10-25_13h59.32.778,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94268795621936,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,1,1,13,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.54266155299774,113.54266155299774,113.54266155299774,113.54266155299774,113.54266155299774,113.54266155299774,113.54266155299774,113.54266155299774,113.54266155299774,113.54266155299774,l,1.3849493570014602,1,95,0,114.94438688999799,116.44584821899844,116.44584821899844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32144,2022-10-25_13h59.32.778,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94268795621936,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,1,2,14,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.9465765290006,116.9465765290006,116.9465765290006,116.9465765290006,116.9465765290006,116.9465765290006,116.9465765290006,116.9465765290006,116.9465765290006,116.9465765290006,l,1.5550194880015624,1,96,0,118.53172241399807,120.03336804100036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32144,2022-10-25_13h59.32.778,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94268795621936,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,1,3,15,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.5337826549985,120.5337826549985,120.5337826549985,120.5337826549985,120.5337826549985,120.5337826549985,120.5337826549985,120.5337826549985,120.5337826549985,120.5337826549985,a,2.103477616001328,1,97,0,122.6695385589992,124.17131940499894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32144,2022-10-25_13h59.32.778,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94268795621936,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,1,4,16,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.6719110390004,124.6719110390004,124.6719110390004,124.6719110390004,124.6719110390004,124.6719110390004,124.6719110390004,124.6719110390004,124.6719110390004,124.6719110390004,a,2.4780996790032077,1,98,0,127.17455702499865,128.6759343729973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32144,2022-10-25_13h59.32.778,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94268795621936,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,1,5,17,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.17676138299794,129.17676138299794,129.17676138299794,129.17676138299794,129.17676138299794,129.17676138299794,129.17676138299794,129.17676138299794,129.17676138299794,129.17676138299794,l,1.997230753000622,1,99,0,131.19538681599806,132.69720920599866,132.69720920599866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32144,2022-10-25_13h59.32.778,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94268795621936,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,1,6,18,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.19756731599773,133.19756731599773,133.19756731599773,133.19756731599773,133.19756731599773,133.19756731599773,133.19756731599773,133.19756731599773,133.19756731599773,133.19756731599773,l,1.8874105840004631,1,100,0,135.1163345899986,136.6180989059976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32144,2022-10-25_13h59.32.778,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94268795621936,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,1,7,19,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.1188151259994,137.1188151259994,137.1188151259994,137.1188151259994,137.1188151259994,137.1188151259994,137.1188151259994,137.1188151259994,137.1188151259994,137.1188151259994,l,3.7591750560022774,10,110,0,140.9062459429988,142.40783720900072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32144,2022-10-25_13h59.32.778,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94268795621936,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,1,8,20,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.90849597799752,142.90849597799752,142.90849597799752,142.90849597799752,142.90849597799752,142.90849597799752,142.90849597799752,142.90849597799752,142.90849597799752,142.90849597799752,a,1.3370908580036485,10,120,0,144.27672844799963,145.7781958710002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32144,2022-10-25_13h59.32.778,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94268795621936,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,1,9,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.2787848730004,146.2787848730004,146.2787848730004,146.2787848730004,146.2787848730004,146.2787848730004,146.2787848730004,146.2787848730004,146.2787848730004,146.2787848730004,a,0.9517202810020535,10,130,0,147.26319343399882,148.76502381499813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32144,2022-10-25_13h59.32.778,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94268795621936,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,1,10,22,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.2655732639978,149.2655732639978,149.2655732639978,149.2655732639978,149.2655732639978,149.2655732639978,149.2655732639978,149.2655732639978,149.2655732639978,149.2655732639978,a,2.236397423002927,1,131,0,151.53468095299831,153.03633146100037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32144,2022-10-25_13h59.32.778,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94268795621936,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,1,11,23,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.5367400239993,153.5367400239993,153.5367400239993,153.5367400239993,153.5367400239993,153.5367400239993,153.5367400239993,153.5367400239993,153.5367400239993,153.5367400239993,a,1.0612226690027455,10,141,0,154.62121916099932,156.1229260580003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32144,2022-10-25_13h59.32.778,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94268795621936,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,2,0,24,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.62347322300047,156.62347322300047,156.62347322300047,156.62347322300047,156.62347322300047,156.62347322300047,156.62347322300047,156.62347322300047,156.62347322300047,156.62347322300047,l,1.4221461990018724,1,142,0,158.07524954600012,159.57674163999764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32144,2022-10-25_13h59.32.778,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94268795621936,
