LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,fix.started,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,prac_fback_text.started,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,top_target_prac2.stopped,tgt_fix_prac2.stopped,bott_target_prac2.stopped,target_resp_prac2.stopped,prac_fback_text.stopped,fix.stopped,star.started,hegagon.started,triangle.started,circle.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,top_target.stopped,tgt_fix.stopped,bot_target.stopped,target_resp.stopped,alt,task,condition,target_resp.keys,rewCond,vts_fback.started,vts_fback.stopped,target_resp.rt,blockNum,norew_fback.started,norew_fback.stopped,key_resp_2.keys,key_resp_2.rt,rewExpectancy,feedbk_text.started,feedbk_text.stopped,text_3.started,debrief.started,text_3.stopped,button.started,debrief.index,debrief.itemText,debrief.type,debrief.granularity,debrief.font,debrief.markerColor,debrief.response,debrief.rt,button.numClicks,button.timesOn,button.timesOff,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.799548991024494,space,13.216210843995214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44402,2022-11-16_10h16.28.891,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.927513715722,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.87292375700781,66.87292375700781,66.87292375700781,66.87292375700781,66.87292375700781,66.87292375700781,66.87292375700781,66.87292375700781,66.87292375700781,66.87292375700781,l,2.084547409991501,1,1,0,69.00089014301193,70.48584505502367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44402,2022-11-16_10h16.28.891,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.927513715722,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,0,1,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.98625375900883,70.98625375900883,70.98625375900883,70.98625375900883,70.98625375900883,70.98625375900883,70.98625375900883,70.98625375900883,70.98625375900883,70.98625375900883,a,1.1102553299861029,1,2,0,72.12100544502027,73.6228861210111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44402,2022-11-16_10h16.28.891,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.927513715722,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,0,2,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.12325321001117,74.12325321001117,74.12325321001117,74.12325321001117,74.12325321001117,74.12325321001117,74.12325321001117,74.12325321001117,74.12325321001117,74.12325321001117,l,0.8752960010024253,10,12,0,75.02423827702296,76.52607740001986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44402,2022-11-16_10h16.28.891,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.927513715722,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.02646522500436,77.02646522500436,77.02646522500436,77.02646522500436,77.02646522500436,77.02646522500436,77.02646522500436,77.02646522500436,77.02646522500436,77.02646522500436,l,0.5371353269729298,1,13,0,77.59375266102143,79.09551625701715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44402,2022-11-16_10h16.28.891,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.927513715722,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,0,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.59607432901976,79.59607432901976,79.59607432901976,79.59607432901976,79.59607432901976,79.59607432901976,79.59607432901976,79.59607432901976,79.59607432901976,79.59607432901976,a,0.5679643519688398,1,14,0,80.19673461400089,81.69823191600153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44402,2022-11-16_10h16.28.891,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.927513715722,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,0,5,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.19892546100891,82.19892546100891,82.19892546100891,82.19892546100891,82.19892546100891,82.19892546100891,82.19892546100891,82.19892546100891,82.19892546100891,82.19892546100891,l,0.6868818449729588,1,15,0,82.91643341901363,84.41989074702724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44402,2022-11-16_10h16.28.891,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.927513715722,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,0,6,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.92038126202533,84.92038126202533,84.92038126202533,84.92038126202533,84.92038126202533,84.92038126202533,84.92038126202533,84.92038126202533,84.92038126202533,84.92038126202533,l,0.4509760669898242,10,25,0,85.40243087802082,86.9041734530183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44402,2022-11-16_10h16.28.891,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.927513715722,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,0,7,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.4044030450168,87.4044030450168,87.4044030450168,87.4044030450168,87.4044030450168,87.4044030450168,87.4044030450168,87.4044030450168,87.4044030450168,87.4044030450168,l,0.4422655289818067,1,26,0,87.87188233001507,89.37336498801596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44402,2022-11-16_10h16.28.891,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.927513715722,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,0,8,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.8739899470238,89.8739899470238,89.8739899470238,89.8739899470238,89.8739899470238,89.8739899470238,89.8739899470238,89.8739899470238,89.8739899470238,89.8739899470238,a,0.6070718479750212,10,36,0,90.50788975600153,92.00982620901777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44402,2022-11-16_10h16.28.891,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.927513715722,
