LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,training_feedback_txt.stopped,fix.started,fix.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,top_target_prac1.stopped,bott_target_prac1.stopped,target_resp_prac1.stopped,acc,E1,target_resp_prac1.keys,pracBlock,prac_fback_text.started,target_resp_prac1.rt,prac_fback_text.stopped,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,star.started,hegagon.started,triangle.started,circle.started,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,vts_fback.started,vts_fback.stopped,blockNum,norew_fback.started,norew_fback.stopped,key_resp_2.keys,key_resp_2.rt,rewExpectancy,feedbk_text.started,feedbk_text.stopped,text_3.started,debrief.started,text_3.stopped,button.started,debrief.index,debrief.itemText,debrief.type,debrief.granularity,debrief.font,debrief.markerColor,debrief.response,debrief.rt,button.numClicks,button.timesOn,button.timesOff,participant,date,expName,psychopyVersion,frameRate,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,0,9,9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1131.6045607770793,1131.6045607770793,1131.6045607770793,1131.6045607770793,1131.6045607770793,1131.6045607770793,1131.6045607770793,1131.6045607770793,1131.6045607770793,1131.6045607770793,a,1.2135095209814608,10,46,0,1132.8408329850063,1134.3395061348565,1134.3395061348565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97511,2022-12-01_11h17.46.624,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.960681687696386,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,0,10,10,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1134.8413185751997,1134.8413185751997,1134.8413185751997,1134.8413185751997,1134.8413185751997,1134.8413185751997,1134.8413185751997,1134.8413185751997,1134.8413185751997,1134.8413185751997,a,1.014473560731858,1,47,0,1135.8762969570234,1137.3760192822665,1137.3760192822665,1137.8758287560195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97511,2022-12-01_11h17.46.624,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.960681687696386,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,0,11,11,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1137.8758287560195,1137.8758287560195,1137.8758287560195,1137.8758287560195,1137.8758287560195,1137.8758287560195,1137.8758287560195,1137.8758287560195,1137.8758287560195,1137.8758287560195,a,1.0516648180782795,10,57,0,1138.9597943061963,,1140.4614892038517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97511,2022-12-01_11h17.46.624,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.960681687696386,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,1,0,12,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1140.9620263059624,1140.9620263059624,1140.9620263059624,1140.9620263059624,1140.9620263059624,1140.9620263059624,1140.9620263059624,1140.9620263059624,1140.9620263059624,1140.9620263059624,l,1.1155238817445934,10,67,0,1142.0959766819142,1143.596435470041,1143.596435470041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97511,2022-12-01_11h17.46.624,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.960681687696386,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,1,1,13,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1144.0964847779833,1144.0964847779833,1144.0964847779833,1144.0964847779833,1144.0964847779833,1144.0964847779833,1144.0964847779833,1144.0964847779833,1144.0964847779833,1144.0964847779833,a,2.199964638799429,10,77,0,1146.3160983012058,1147.8166481601074,1147.8166481601074,1148.316919837147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97511,2022-12-01_11h17.46.624,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.960681687696386,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,1,2,14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1148.316919837147,1148.316919837147,1148.316919837147,1148.316919837147,1148.316919837147,1148.316919837147,1148.316919837147,1148.316919837147,1148.316919837147,1148.316919837147,a,1.6133670937269926,1,78,0,1149.9543400579132,,1151.4694370059296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97511,2022-12-01_11h17.46.624,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.960681687696386,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,1,3,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1151.9694556342438,1151.9694556342438,1151.9694556342438,1151.9694556342438,1151.9694556342438,1151.9694556342438,1151.9694556342438,1151.9694556342438,1151.9694556342438,1151.9694556342438,l,1.1456718873232603,1,79,0,1153.1371310940012,1154.6344796200283,1154.6344796200283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97511,2022-12-01_11h17.46.624,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.960681687696386,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,1,4,16,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1155.139591997955,1155.139591997955,1155.139591997955,1155.139591997955,1155.139591997955,1155.139591997955,1155.139591997955,1155.139591997955,1155.139591997955,1155.139591997955,l,1.0924200979061425,10,89,0,1156.2577153421007,1157.756709922105,1157.756709922105,1158.257055948954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97511,2022-12-01_11h17.46.624,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.960681687696386,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,1,5,17,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1158.257055948954,1158.257055948954,1158.257055948954,1158.257055948954,1158.257055948954,1158.257055948954,1158.257055948954,1158.257055948954,1158.257055948954,1158.257055948954,a,1.0451738550327718,10,99,0,1159.3243814250454,,1160.826470903121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97511,2022-12-01_11h17.46.624,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.960681687696386,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,1,6,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1161.3267214181833,1161.3267214181833,1161.3267214181833,1161.3267214181833,1161.3267214181833,1161.3267214181833,1161.3267214181833,1161.3267214181833,1161.3267214181833,1161.3267214181833,l,0.6416918048635125,1,100,0,1161.9951819148846,1163.4945855322294,1163.4945855322294,1163.9944720822386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97511,2022-12-01_11h17.46.624,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.960681687696386,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,1,7,19,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1163.9944720822386,1163.9944720822386,1163.9944720822386,1163.9944720822386,1163.9944720822386,1163.9944720822386,1163.9944720822386,1163.9944720822386,1163.9944720822386,1163.9944720822386,a,0.8097943481989205,10,110,0,1164.8311637160368,1166.3304524361156,1166.3304524361156,1166.831218557898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97511,2022-12-01_11h17.46.624,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.960681687696386,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,1,8,20,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1166.831218557898,1166.831218557898,1166.831218557898,1166.831218557898,1166.831218557898,1166.831218557898,1166.831218557898,1166.831218557898,1166.831218557898,1166.831218557898,l,1.5048517719842494,1,111,0,1168.3657348118722,,1169.8669383008964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97511,2022-12-01_11h17.46.624,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.960681687696386,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,1,9,21,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170.3671199460514,1170.3671199460514,1170.3671199460514,1170.3671199460514,1170.3671199460514,1170.3671199460514,1170.3671199460514,1170.3671199460514,1170.3671199460514,1170.3671199460514,a,0.6579638798721135,1,112,0,1171.0510130892508,1172.5516615388915,1172.5516615388915,1173.0515465252101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97511,2022-12-01_11h17.46.624,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.960681687696386,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,1,10,22,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1173.0515465252101,1173.0515465252101,1173.0515465252101,1173.0515465252101,1173.0515465252101,1173.0515465252101,1173.0515465252101,1173.0515465252101,1173.0515465252101,1173.0515465252101,l,1.3825360098853707,1,113,0,1174.452015397139,,1175.954246463254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97511,2022-12-01_11h17.46.624,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.960681687696386,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,1,11,23,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1176.4544556271285,1176.4544556271285,1176.4544556271285,1176.4544556271285,1176.4544556271285,1176.4544556271285,1176.4544556271285,1176.4544556271285,1176.4544556271285,1176.4544556271285,l,0.9282641517929733,10,123,0,1177.4063963992521,1178.9054276230745,1178.9054276230745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97511,2022-12-01_11h17.46.624,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.960681687696386,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,2,0,24,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1179.4054826111533,1179.4054826111533,1179.4054826111533,1179.4054826111533,1179.4054826111533,1179.4054826111533,1179.4054826111533,1179.4054826111533,1179.4054826111533,1179.4054826111533,a,0.8900995459407568,1,124,0,1180.3257527998649,1181.8251067930833,1181.8251067930833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97511,2022-12-01_11h17.46.624,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.960681687696386,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,2,1,25,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1182.3251012251712,1182.3251012251712,1182.3251012251712,1182.3251012251712,1182.3251012251712,1182.3251012251712,1182.3251012251712,1182.3251012251712,1182.3251012251712,1182.3251012251712,l,0.7606386062689126,10,134,0,1183.1099600209855,1184.6094025350176,1184.6094025350176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97511,2022-12-01_11h17.46.624,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.960681687696386,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,2,2,26,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1185.1113947378471,1185.1113947378471,1185.1113947378471,1185.1113947378471,1185.1113947378471,1185.1113947378471,1185.1113947378471,1185.1113947378471,1185.1113947378471,1185.1113947378471,l,1.2030198290012777,10,144,0,1186.3454005490057,1187.8456982020289,1187.8456982020289,1188.3462271960452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97511,2022-12-01_11h17.46.624,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.960681687696386,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,2,3,27,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1188.3462271960452,1188.3462271960452,1188.3462271960452,1188.3462271960452,1188.3462271960452,1188.3462271960452,1188.3462271960452,1188.3462271960452,1188.3462271960452,1188.3462271960452,a,1.7147131031379104,1,145,0,1190.0832753651775,,1191.5986760789528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97511,2022-12-01_11h17.46.624,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.960681687696386,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,2,4,28,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1192.0823151739314,1192.0823151739314,1192.0823151739314,1192.0823151739314,1192.0823151739314,1192.0823151739314,1192.0823151739314,1192.0823151739314,1192.0823151739314,1192.0823151739314,a,0.7589658037759364,10,155,0,1192.8672929680906,,1194.3832349418662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97511,2022-12-01_11h17.46.624,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.960681687696386,
