LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,training_feedback_txt.stopped,fix.started,fix.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,prac_fback_text.started,prac_fback_text.stopped,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,star.started,hegagon.started,triangle.started,circle.started,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,vts_fback.started,vts_fback.stopped,top_target.stopped,tgt_fix.stopped,bot_target.stopped,target_resp.stopped,blockNum,norew_fback.started,norew_fback.stopped,key_resp_2.keys,key_resp_2.rt,rewExpectancy,feedbk_text.started,feedbk_text.stopped,text_3.started,debrief.started,text_3.stopped,button.started,debrief.index,debrief.itemText,debrief.type,debrief.granularity,debrief.font,debrief.markerColor,debrief.response,debrief.rt,button.numClicks,button.timesOn,button.timesOff,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,14,0,14,0,,,,,,,,,,,,,,,,1,1149,,,,1583.170576965087,,146,B,hexagon,0.0005637879949063063,,,,,1,1,,,,,,,,,,,,1579.5165307660354,1579.5165307660354,1579.5165307660354,1579.5165307660354,1581.017943529063,1581.017943529063,1581.017943529063,1581.017943529063,1581.017943529063,1581.017943529063,1581.017943529063,1581.017943529063,repeat,number,numRpt,d,0.6267318070167676,Lo,,,,,,,2,,,,,high,1581.6855717940489,,,,,,,,,,,,,,,,,33405,2022-11-28_13h58.11.201,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.93178409133674,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,15,0,15,0,,,,,,,,,,,,,,,,0,1149,,,,1587.8757343650796,,174,S,triangle,0.0012592480052262545,,,,,1,0,,,,,,,,,,,,1584.154847706086,1584.154847706086,1584.154847706086,1584.154847706086,1585.656599556096,1585.656599556096,1585.656599556096,1585.656599556096,1585.656599556096,1585.656599556096,1585.656599556096,1585.656599556096,repeat,number,numRpt,f,0.6683360810857266,Hi,,,,,,,2,,,,,high,1586.3739701170707,1587.8757343650796,,,,,,,,,,,,,,,,33405,2022-11-28_13h58.11.201,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.93178409133674,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,16,0,16,0,,,,,,,,,,,,,,,,1,1150,,,,1593.531793597038,,181,B,hexagon,0.00111042195931077,,,,,1,0,,,,,,,,,,,,1588.8599753290182,1588.8599753290182,1588.8599753290182,1588.8599753290182,1590.361626940081,1590.361626940081,1590.361626940081,1590.361626940081,1590.361626940081,1590.361626940081,1590.361626940081,1590.361626940081,repeat,number,numRpt,f,1.6241602950030938,Lo,,,,,,,2,,,,,high,1592.030144339078,,,,,,,,,,,,,,,,,33405,2022-11-28_13h58.11.201,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.93178409133674,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,17,0,17,0,,,,,,,,,,,,,,,,1,1151,,,,1598.3705815370195,,160,U,star,0.0011933830101042986,,,,,1,0,,,,,,,,,,,,1594.4994320219848,1594.4994320219848,1594.4994320219848,1594.4994320219848,1596.0014645690098,1596.0014645690098,1596.0014645690098,1596.0014645690098,1596.0014645690098,1596.0014645690098,1596.0014645690098,1596.0014645690098,repeat,number,numRpt,f,0.8435106999240816,Lo,,,,,,,2,,,,,high,1596.8705877490574,,,,,,,,,,,,,,,,,33405,2022-11-28_13h58.11.201,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.93178409133674,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,18,0,18,0,,,,,,,,,,,,,,,,0,1151,,,,1602.9254812790314,1603.4259970660787,174,W,circle,0.0013009519316256046,,,,,1,0,,,,,,,,,,,,1599.3549625220476,1599.3549625220476,1599.3549625220476,1599.3549625220476,1600.85658444406,1600.85658444406,1600.85658444406,1600.85658444406,1600.85658444406,1600.85658444406,1600.85658444406,1600.85658444406,switch,letter,lettSwt,k,0.5346365300938487,Hi,,,,,,,2,,,,,high,1601.4239501970587,1602.9254812790314,,,,,,,,,,,,,,,,33405,2022-11-28_13h58.11.201,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.93178409133674,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,19,0,19,0,,,,,,,,,,,,,,,,10,1161,,,,1607.3970054090023,,132,Y,triangle,0.00021934194955974817,,,,,1,0,,,,,,,,,,,,1603.9098020620877,1603.9098020620877,1603.9098020620877,1603.9098020620877,1605.411616414087,1605.411616414087,1605.411616414087,1605.411616414087,1605.411616414087,1605.411616414087,1605.411616414087,1605.411616414087,repeat,letter,lettRpt,k,0.4570313229924068,Hi,,,,,,,2,,,,,high,1605.9124494120479,,,,,,,,,,,,,,,,,33405,2022-11-28_13h58.11.201,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.93178409133674,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,20,0,20,0,,,,,,,,,,,,,,,,0,1161,,,,1611.9855929519981,,167,H,star,0.0012020799331367016,,,,,0,0,,,,,,,,,,,,1608.381688852096,1608.381688852096,1608.381688852096,1608.381688852096,1609.8832575620618,1609.8832575620618,1609.8832575620618,1609.8832575620618,1609.8832575620618,1609.8832575620618,1609.8832575620618,1609.8832575620618,repeat,letter,NA,k,0.5750931940274313,Hi,,,,,,,2,,,,,high,1610.500533626997,,,,,,,,,,,,,,,,,33405,2022-11-28_13h58.11.201,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.93178409133674,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,21,0,21,0,,,,,,,,,,,,,,,,10,1171,,,,1616.6907927599968,,146,D,hexagon,0.0014001100789755583,,,,,1,1,,,,,,,,,,,,1612.969915595022,1612.969915595022,1612.969915595022,1612.969915595022,1614.4716007290408,1614.4716007290408,1614.4716007290408,1614.4716007290408,1614.4716007290408,1614.4716007290408,1614.4716007290408,1614.4716007290408,repeat,letter,lettRpt,j,0.6681672619888559,Lo,,,,,,,2,,,,,high,1615.1890916610137,,,,,,,,,,,,,,,,,33405,2022-11-28_13h58.11.201,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.93178409133674,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,22,0,22,0,,,,,,,,,,,,,,,,0,1171,,,,1621.4460676710587,,125,S,triangle,0.0011480830144137144,,,,,1,0,,,,,,,,,,,,1617.675071299076,1617.675071299076,1617.675071299076,1617.675071299076,1619.176891766023,1619.176891766023,1619.176891766023,1619.176891766023,1619.176891766023,1619.176891766023,1619.176891766023,1619.176891766023,repeat,letter,lettRpt,k,0.7436334190424532,Hi,,,,,,,2,,,,,high,1619.9610858740052,,,,,,,,,,,,,,,,,33405,2022-11-28_13h58.11.201,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.93178409133674,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,23,0,23,0,,,,,,,,,,,,,,,,0,1171,,,,1626.101165752043,1626.6015790720703,139,F,circle,0.0014079450629651546,,,,,1,0,,,,,,,,,,,,1622.4304811210604,1622.4304811210604,1622.4304811210604,1622.4304811210604,1623.9321899220813,1623.9321899220813,1623.9321899220813,1623.9321899220813,1623.9321899220813,1623.9321899220813,1623.9321899220813,1623.9321899220813,repeat,letter,lettRpt,j,0.6349075580947101,Hi,,,,,,,2,,,,,high,1624.5994931890164,1626.101165752043,,,,,,,,,,,,,,,,33405,2022-11-28_13h58.11.201,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.93178409133674,
