LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,fix.started,training_feedback_txt.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,prac_fback_text.started,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,star.started,hegagon.started,triangle.started,circle.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,top_target.stopped,tgt_fix.stopped,bot_target.stopped,target_resp.stopped,alt,task,condition,target_resp.keys,rewCond,vts_fback.started,vts_fback.stopped,fix.stopped,target_resp.rt,blockNum,norew_fback.started,norew_fback.stopped,key_resp_2.keys,key_resp_2.rt,rewExpectancy,feedbk_text.started,feedbk_text.stopped,text_3.started,text_3.stopped,button.started,debrief.index,debrief.itemText,debrief.type,debrief.granularity,debrief.font,debrief.markerColor,debrief.response,debrief.rt,button.numClicks,button.timesOn,button.timesOff,participant,date,expName,psychopyVersion,frameRate,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,0,9,9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.59441617999983,112.59441617999983,112.59441617999983,112.59441617999983,112.59441617999983,112.59441617999983,112.59441617999983,112.59441617999983,112.59441617999983,112.59441617999983,l,1.269765279999774,10,64,0,113.89592156800063,115.39759899199998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55493,2022-10-25_13h56.41.374,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.137185186996454,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,0,10,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.89826129300127,115.89826129300127,115.89826129300127,115.89826129300127,115.89826129300127,115.89826129300127,115.89826129300127,115.89826129300127,115.89826129300127,115.89826129300127,a,0.893812884001818,1,65,0,116.81582012699982,118.31742797799961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55493,2022-10-25_13h56.41.374,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.137185186996454,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,0,11,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.8179417400006,118.8179417400006,118.8179417400006,118.8179417400006,118.8179417400006,118.8179417400006,118.8179417400006,118.8179417400006,118.8179417400006,118.8179417400006,l,2.2773938620011904,10,75,0,121.12054578300013,122.62219020200064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55493,2022-10-25_13h56.41.374,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.137185186996454,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,1,0,12,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.12268544499966,123.12268544499966,123.12268544499966,123.12268544499966,123.12268544499966,123.12268544499966,123.12268544499966,123.12268544499966,123.12268544499966,123.12268544499966,a,0.9018258260002767,10,85,0,124.05719887899977,125.55870732100084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55493,2022-10-25_13h56.41.374,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.137185186996454,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,1,1,13,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.05924734099972,126.05924734099972,126.05924734099972,126.05924734099972,126.05924734099972,126.05924734099972,126.05924734099972,126.05924734099972,126.05924734099972,126.05924734099972,a,2.596784535000552,1,86,0,128.67884381800104,130.18040723800004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55493,2022-10-25_13h56.41.374,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.137185186996454,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,1,2,14,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.6810675050001,130.6810675050001,130.6810675050001,130.6810675050001,130.6810675050001,130.6810675050001,130.6810675050001,130.6810675050001,130.6810675050001,130.6810675050001,l,1.0387884169995232,10,96,0,131.74885186100073,133.25060099300026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55493,2022-10-25_13h56.41.374,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.137185186996454,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,1,3,15,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.7511005289998,133.7511005289998,133.7511005289998,133.7511005289998,133.7511005289998,133.7511005289998,133.7511005289998,133.7511005289998,133.7511005289998,133.7511005289998,a,2.4803744820001157,1,97,0,136.25385963400004,137.75546795900118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55493,2022-10-25_13h56.41.374,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.137185186996454,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,1,4,16,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.25606532799975,138.25606532799975,138.25606532799975,138.25606532799975,138.25606532799975,138.25606532799975,138.25606532799975,138.25606532799975,138.25606532799975,138.25606532799975,a,1.1682340430015756,1,98,0,139.4408854630001,140.94234935900022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55493,2022-10-25_13h56.41.374,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.137185186996454,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,1,5,17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.44293253599972,141.44293253599972,141.44293253599972,141.44293253599972,141.44293253599972,141.44293253599972,141.44293253599972,141.44293253599972,141.44293253599972,141.44293253599972,a,1.2369617969998217,10,108,0,142.71108641400133,144.21266084300078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55493,2022-10-25_13h56.41.374,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.137185186996454,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,1,6,18,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.713148326,144.713148326,144.713148326,144.713148326,144.713148326,144.713148326,144.713148326,144.713148326,144.713148326,144.713148326,l,0.9194575310011714,10,118,0,145.66422503300055,147.1658770260001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55493,2022-10-25_13h56.41.374,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.137185186996454,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,1,7,19,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.66648240500035,147.66648240500035,147.66648240500035,147.66648240500035,147.66648240500035,147.66648240500035,147.66648240500035,147.66648240500035,147.66648240500035,147.66648240500035,l,1.2135301639991667,10,128,0,148.9013484010011,150.4029444429998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55493,2022-10-25_13h56.41.374,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.137185186996454,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,1,8,20,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.90336086500065,150.90336086500065,150.90336086500065,150.90336086500065,150.90336086500065,150.90336086500065,150.90336086500065,150.90336086500065,150.90336086500065,150.90336086500065,a,0.7770968820004782,1,129,0,151.70420378699964,153.20588433900048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55493,2022-10-25_13h56.41.374,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.137185186996454,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,1,9,21,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.70640437099973,153.70640437099973,153.70640437099973,153.70640437099973,153.70640437099973,153.70640437099973,153.70640437099973,153.70640437099973,153.70640437099973,153.70640437099973,a,0.9258154769995599,10,139,0,154.6574264310002,156.15913331299998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55493,2022-10-25_13h56.41.374,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.137185186996454,
