LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,training_feedback_txt.stopped,fix.started,fix.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,prac_fback_text.started,prac_fback_text.stopped,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,star.started,hegagon.started,triangle.started,circle.started,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,vts_fback.started,vts_fback.stopped,top_target.stopped,tgt_fix.stopped,bot_target.stopped,target_resp.stopped,blockNum,norew_fback.started,norew_fback.stopped,key_resp_2.keys,key_resp_2.rt,rewExpectancy,feedbk_text.started,feedbk_text.stopped,text_3.started,debrief.started,text_3.stopped,button.started,debrief.index,debrief.itemText,debrief.type,debrief.granularity,debrief.font,debrief.markerColor,debrief.response,debrief.rt,button.numClicks,button.timesOn,button.timesOff,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.988742750836536,space,17.254618836101145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33606,2022-11-17_14h05.11.770,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.9301724871312,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.89065212290734,65.89065212290734,65.89065212290734,65.89065212290734,65.89065212290734,65.89065212290734,65.89065212290734,65.89065212290734,65.89065212290734,65.89065212290734,a,1.6407728279009461,10,10,0,67.56007517804392,69.0607396599371,69.0607396599371,69.56113737006672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33606,2022-11-17_14h05.11.770,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.9301724871312,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.56113737006672,69.56113737006672,69.56113737006672,69.56113737006672,69.56113737006672,69.56113737006672,69.56113737006672,69.56113737006672,69.56113737006672,69.56113737006672,l,1.930077726021409,10,20,0,71.51340746995993,,73.0151359308511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33606,2022-11-17_14h05.11.770,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.9301724871312,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.51551764598116,73.51551764598116,73.51551764598116,73.51551764598116,73.51551764598116,73.51551764598116,73.51551764598116,73.51551764598116,73.51551764598116,73.51551764598116,a,1.8577768269460648,1,21,0,75.40099821798503,,76.90258645801805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33606,2022-11-17_14h05.11.770,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.9301724871312,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.4027958358638,77.4027958358638,77.4027958358638,77.4027958358638,77.4027958358638,77.4027958358638,77.4027958358638,77.4027958358638,77.4027958358638,77.4027958358638,a,2.4375097160227597,1,22,0,79.87249507801607,,81.37419284298085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33606,2022-11-17_14h05.11.770,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.9301724871312,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,0,4,4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.87474632286467,81.87474632286467,81.87474632286467,81.87474632286467,81.87474632286467,81.87474632286467,81.87474632286467,81.87474632286467,81.87474632286467,81.87474632286467,a,2.2286448117811233,10,32,0,84.12730763899162,,85.62905600992963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33606,2022-11-17_14h05.11.770,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.9301724871312,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,0,5,5,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.1295865860302,86.1295865860302,86.1295865860302,86.1295865860302,86.1295865860302,86.1295865860302,86.1295865860302,86.1295865860302,86.1295865860302,86.1295865860302,l,1.3838826268911362,1,33,0,87.53104624291882,,89.03280984098092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33606,2022-11-17_14h05.11.770,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.9301724871312,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,0,6,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.5332965690177,89.5332965690177,89.5332965690177,89.5332965690177,89.5332965690177,89.5332965690177,89.5332965690177,89.5332965690177,89.5332965690177,89.5332965690177,a,1.3670503729954362,10,43,0,90.91791869304143,,92.41979990503751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33606,2022-11-17_14h05.11.770,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.9301724871312,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,0,7,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.92029700987041,92.92029700987041,92.92029700987041,92.92029700987041,92.92029700987041,92.92029700987041,92.92029700987041,92.92029700987041,92.92029700987041,92.92029700987041,a,1.9719225750304759,10,53,0,94.92252193787135,,96.42435304098763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33606,2022-11-17_14h05.11.770,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.9301724871312,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,0,8,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.9248472189065,96.9248472189065,96.9248472189065,96.9248472189065,96.9248472189065,96.9248472189065,96.9248472189065,96.9248472189065,96.9248472189065,96.9248472189065,l,1.9389418519567698,1,54,0,98.89359900797717,,100.39543670602143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33606,2022-11-17_14h05.11.770,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.9301724871312,
