LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,training_feedback_txt.stopped,fix.started,fix.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,prac_fback_text.started,prac_fback_text.stopped,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,star.started,hegagon.started,triangle.started,circle.started,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,top_target.stopped,tgt_fix.stopped,bot_target.stopped,target_resp.stopped,alt,task,condition,target_resp.keys,rewCond,vts_fback.started,target_resp.rt,vts_fback.stopped,blockNum,norew_fback.started,norew_fback.stopped,key_resp_2.keys,key_resp_2.rt,rewExpectancy,feedbk_text.started,feedbk_text.stopped,text_3.started,text_3.stopped,button.started,debrief.index,debrief.itemText,debrief.type,debrief.granularity,debrief.font,debrief.markerColor,debrief.response,debrief.rt,button.numClicks,button.timesOn,button.timesOff,participant,date,expName,psychopyVersion,frameRate,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,0,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.67396432103124,127.67396432103124,127.67396432103124,127.67396432103124,127.67396432103124,127.67396432103124,127.67396432103124,127.67396432103124,127.67396432103124,127.67396432103124,l,0.6793067529797554,10,64,0,128.37604443507735,129.87655054905917,129.87655054905917,130.37665932497475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66872,2022-11-02_10h11.18.591,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.92191934480331,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,0,10,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.37665932497475,130.37665932497475,130.37665932497475,130.37665932497475,130.37665932497475,130.37665932497475,130.37665932497475,130.37665932497475,130.37665932497475,130.37665932497475,a,0.7285320298979059,1,65,0,131.1270439560758,132.62756929104216,132.62756929104216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66872,2022-11-02_10h11.18.591,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.92191934480331,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,0,11,11,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.12793143605813,133.12793143605813,133.12793143605813,133.12793143605813,133.12793143605813,133.12793143605813,133.12793143605813,133.12793143605813,133.12793143605813,133.12793143605813,a,1.0572006528964266,1,66,0,134.21319667098578,135.71389895200264,135.71389895200264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66872,2022-11-02_10h11.18.591,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.92191934480331,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,1,0,12,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.21409907308407,136.21409907308407,136.21409907308407,136.21409907308407,136.21409907308407,136.21409907308407,136.21409907308407,136.21409907308407,136.21409907308407,136.21409907308407,a,0.53937368595507,1,67,0,136.78080866497476,,138.28322782099713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66872,2022-11-02_10h11.18.591,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.92191934480331,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,1,1,13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.78339374798816,138.78339374798816,138.78339374798816,138.78339374798816,138.78339374798816,138.78339374798816,138.78339374798816,138.78339374798816,138.78339374798816,138.78339374798816,l,0.722039412939921,10,77,0,139.53414312703535,141.0343024240574,141.0343024240574,141.53428775200155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66872,2022-11-02_10h11.18.591,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.92191934480331,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,1,2,14,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.53428775200155,141.53428775200155,141.53428775200155,141.53428775200155,141.53428775200155,141.53428775200155,141.53428775200155,141.53428775200155,141.53428775200155,141.53428775200155,a,0.8747239749645814,1,78,0,142.43492126197089,,143.93708558008075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66872,2022-11-02_10h11.18.591,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.92191934480331,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,1,3,15,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.43733047903515,144.43733047903515,144.43733047903515,144.43733047903515,144.43733047903515,144.43733047903515,144.43733047903515,144.43733047903515,144.43733047903515,144.43733047903515,a,0.8835918138502166,1,79,0,145.33749636099674,146.83809229603503,146.83809229603503,147.3384479599772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66872,2022-11-02_10h11.18.591,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.92191934480331,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,1,4,16,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.3384479599772,147.3384479599772,147.3384479599772,147.3384479599772,147.3384479599772,147.3384479599772,147.3384479599772,147.3384479599772,147.3384479599772,147.3384479599772,l,1.3661930169910192,10,89,0,148.72425206401385,150.2245656560408,150.2245656560408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66872,2022-11-02_10h11.18.591,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.92191934480331,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,1,5,17,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.72470262798015,150.72470262798015,150.72470262798015,150.72470262798015,150.72470262798015,150.72470262798015,150.72470262798015,150.72470262798015,150.72470262798015,150.72470262798015,l,0.7083330259192735,1,90,0,151.45882391906343,152.95892823801842,152.95892823801842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66872,2022-11-02_10h11.18.591,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.92191934480331,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,1,6,18,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.46069386706222,153.46069386706222,153.46069386706222,153.46069386706222,153.46069386706222,153.46069386706222,153.46069386706222,153.46069386706222,153.46069386706222,153.46069386706222,a,0.6607340308837593,1,91,0,154.14446828200016,155.64506843301933,155.64506843301933,156.145080522052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66872,2022-11-02_10h11.18.591,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.92191934480331,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,1,7,19,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.145080522052,156.145080522052,156.145080522052,156.145080522052,156.145080522052,156.145080522052,156.145080522052,156.145080522052,156.145080522052,156.145080522052,l,1.2239893769146875,1,92,0,157.39556744298898,,158.89797430101316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66872,2022-11-02_10h11.18.591,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.92191934480331,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,1,8,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.39842381805647,159.39842381805647,159.39842381805647,159.39842381805647,159.39842381805647,159.39842381805647,159.39842381805647,159.39842381805647,159.39842381805647,159.39842381805647,a,0.5861046819481999,1,93,0,160.0149773270823,161.51565356506035,161.51565356506035,162.0158944920404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66872,2022-11-02_10h11.18.591,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.92191934480331,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,1,9,21,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.0158944920404,162.0158944920404,162.0158944920404,162.0158944920404,162.0158944920404,162.0158944920404,162.0158944920404,162.0158944920404,162.0158944920404,162.0158944920404,a,0.3847531509818509,10,103,0,162.43251367507037,,163.9350918220589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66872,2022-11-02_10h11.18.591,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.92191934480331,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,1,10,22,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.4351860000752,164.4351860000752,164.4351860000752,164.4351860000752,164.4351860000752,164.4351860000752,164.4351860000752,164.4351860000752,164.4351860000752,164.4351860000752,l,0.926063809893094,1,104,0,165.38618022203445,166.886073649046,166.886073649046,167.3864152589813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66872,2022-11-02_10h11.18.591,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.92191934480331,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,1,11,23,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.3864152589813,167.3864152589813,167.3864152589813,167.3864152589813,167.3864152589813,167.3864152589813,167.3864152589813,167.3864152589813,167.3864152589813,167.3864152589813,a,0.4861418588552624,1,105,0,167.90301001502667,,169.40569780906662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66872,2022-11-02_10h11.18.591,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.92191934480331,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,2,0,24,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.9059060610598,169.9059060610598,169.9059060610598,169.9059060610598,169.9059060610598,169.9059060610598,169.9059060610598,169.9059060610598,169.9059060610598,169.9059060610598,a,0.687166980933398,10,115,0,170.62297007197049,172.12328841199633,172.12328841199633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66872,2022-11-02_10h11.18.591,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.92191934480331,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,2,1,25,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.62350769003388,172.62350769003388,172.62350769003388,172.62350769003388,172.62350769003388,172.62350769003388,172.62350769003388,172.62350769003388,172.62350769003388,172.62350769003388,a,1.298112729913555,1,116,0,173.94240632199217,,175.44296594697516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66872,2022-11-02_10h11.18.591,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.92191934480331,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,2,2,26,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.9429086559685,175.9429086559685,175.9429086559685,175.9429086559685,175.9429086559685,175.9429086559685,175.9429086559685,175.9429086559685,175.9429086559685,175.9429086559685,a,1.1298778319032863,1,117,0,177.09348366502672,,178.5956506190123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66872,2022-11-02_10h11.18.591,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.92191934480331,
