LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,fix.started,training_feedback_txt.stopped,fix.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,prac_fback_text.started,prac_fback_text.stopped,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,star.started,hegagon.started,triangle.started,circle.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,vts_fback.started,vts_fback.stopped,blockNum,norew_fback.started,norew_fback.stopped,top_target.stopped,tgt_fix.stopped,bot_target.stopped,target_resp.stopped,key_resp_2.keys,key_resp_2.rt,rewExpectancy,feedbk_text.started,feedbk_text.stopped,text_3.started,debrief.started,text_3.stopped,button.started,debrief.index,debrief.itemText,debrief.type,debrief.granularity,debrief.font,debrief.markerColor,debrief.response,debrief.rt,button.numClicks,button.timesOn,button.timesOff,participant,date,expName,psychopyVersion,frameRate,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,0,9,9,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,837.7935735789943,837.7935735789943,837.7935735789943,837.7935735789943,837.7935735789943,837.7935735789943,837.7935735789943,837.7935735789943,837.7935735789943,837.7935735789943,l,0.7455983840045519,10,64,0,838.5610649529845,840.0627100709826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16861,2022-11-21_10h38.16.206,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.90117372623791,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,0,10,10,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,840.5632993670006,840.5632993670006,840.5632993670006,840.5632993670006,840.5632993670006,840.5632993670006,840.5632993670006,840.5632993670006,840.5632993670006,840.5632993670006,l,1.3530733870284166,10,74,0,841.9481119620032,843.4497684249945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16861,2022-11-21_10h38.16.206,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.90117372623791,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,0,11,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,843.9504191879823,843.9504191879823,843.9504191879823,843.9504191879823,843.9504191879823,843.9504191879823,843.9504191879823,843.9504191879823,843.9504191879823,843.9504191879823,l,0.9116825569944922,1,75,0,844.8847617110005,846.3865023719845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16861,2022-11-21_10h38.16.206,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.90117372623791,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,1,0,12,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,846.8869497199776,846.8869497199776,846.8869497199776,846.8869497199776,846.8869497199776,846.8869497199776,846.8869497199776,846.8869497199776,846.8869497199776,846.8869497199776,l,1.216286842012778,10,85,0,848.1217159869848,849.6232686569856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16861,2022-11-21_10h38.16.206,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.90117372623791,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,1,1,13,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,850.1241086770024,850.1241086770024,850.1241086770024,850.1241086770024,850.1241086770024,850.1241086770024,850.1241086770024,850.1241086770024,850.1241086770024,850.1241086770024,a,0.6685594670125283,10,95,0,850.8248914970027,852.3263889999944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16861,2022-11-21_10h38.16.206,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.90117372623791,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,1,2,14,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,852.8268675399886,852.8268675399886,852.8268675399886,852.8268675399886,852.8268675399886,852.8268675399886,852.8268675399886,852.8268675399886,852.8268675399886,852.8268675399886,l,0.9355195560201537,10,105,0,853.794622558984,855.2963017080037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16861,2022-11-21_10h38.16.206,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.90117372623791,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,1,3,15,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,855.7969921460026,855.7969921460026,855.7969921460026,855.7969921460026,855.7969921460026,855.7969921460026,855.7969921460026,855.7969921460026,855.7969921460026,855.7969921460026,a,0.8685973540123086,1,106,0,856.698082339979,858.1994466949836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16861,2022-11-21_10h38.16.206,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.90117372623791,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,1,4,16,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,858.7000391350011,858.7000391350011,858.7000391350011,858.7000391350011,858.7000391350011,858.7000391350011,858.7000391350011,858.7000391350011,858.7000391350011,858.7000391350011,a,1.2843116590229329,10,116,0,860.0013610879832,861.5030469469784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16861,2022-11-21_10h38.16.206,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.90117372623791,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,1,5,17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,862.003572186979,862.003572186979,862.003572186979,862.003572186979,862.003572186979,862.003572186979,862.003572186979,862.003572186979,862.003572186979,862.003572186979,l,0.8700607370119542,10,126,0,862.9045208930038,864.4062586649961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16861,2022-11-21_10h38.16.206,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.90117372623791,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,1,6,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,864.9067872209998,864.9067872209998,864.9067872209998,864.9067872209998,864.9067872209998,864.9067872209998,864.9067872209998,864.9067872209998,864.9067872209998,864.9067872209998,a,1.1405768010008615,10,136,0,866.0748884920031,867.5764313109976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16861,2022-11-21_10h38.16.206,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.90117372623791,
