LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,fix.started,training_feedback_txt.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,prac_fback_text.started,prac_fback_text.stopped,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,star.started,hegagon.started,triangle.started,circle.started,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,vts_fback.started,vts_fback.stopped,fix.stopped,blockNum,norew_fback.started,norew_fback.stopped,key_resp_2.keys,key_resp_2.rt,rewExpectancy,feedbk_text.started,feedbk_text.stopped,top_target.stopped,tgt_fix.stopped,bot_target.stopped,target_resp.stopped,text_3.started,debrief.started,text_3.stopped,button.started,debrief.index,debrief.itemText,debrief.type,debrief.granularity,debrief.font,debrief.markerColor,debrief.response,debrief.rt,button.numClicks,button.timesOn,button.timesOff,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,882,,,835.1347684271168,,125,S,circle,0.001252494053915143,,,,,1,0,,,2,,,,,,,,,830.9133950420655,830.9133950420655,830.9133950420655,830.9133950420655,832.4150032079779,832.4150032079779,832.4150032079779,832.4150032079779,832.4150032079779,832.4150032079779,832.4150032079779,832.4150032079779,switch,letter,lettSwt,k,1.1965114218182862,vtsPrac,833.633151617134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99640,2022-11-10_14h07.36.122,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.10686973656437,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,882,,,839.8899831220042,,132,F,circle,0.001104423077777028,,,,,1,0,,,2,,,,,,,,,836.119135182118,836.119135182118,836.119135182118,836.119135182118,837.6210973050911,837.6210973050911,837.6210973050911,837.6210973050911,837.6210973050911,837.6210973050911,837.6210973050911,837.6210973050911,repeat,letter,lettRpt,j,0.7397055889014155,vtsPrac,838.3882399429567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99640,2022-11-10_14h07.36.122,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.10686973656437,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,882,,,844.3950255450327,,160,H,triangle,0.0010401841718703508,,,,,1,0,,,2,,,,,,,,,840.8746939850971,840.8746939850971,840.8746939850971,840.8746939850971,842.376201126026,842.376201126026,842.376201126026,842.376201126026,842.376201126026,842.376201126026,842.376201126026,842.376201126026,switch,number,numSwt,f,0.4848192660138011,vtsPrac,842.8933157101274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99640,2022-11-10_14h07.36.122,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.10686973656437,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,20,0,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,882,,,849.2668743601535,,125,U,triangle,0.0013213919010013342,,,,,1,0,,,2,,,,,,,,,845.379438444972,845.379438444972,845.379438444972,845.379438444972,846.8809730021749,846.8809730021749,846.8809730021749,846.8809730021749,846.8809730021749,846.8809730021749,846.8809730021749,846.8809730021749,switch,letter,lettSwt,k,0.8612161299679428,vtsPrac,847.7652922130655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99640,2022-11-10_14h07.36.122,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.10686973656437,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,21,0,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,882,,,853.9554312659893,,167,D,hexagon,0.001143899979069829,,,,,1,0,,,2,,,,,,,,,850.2515052149538,850.2515052149538,850.2515052149538,850.2515052149538,851.7532170910854,851.7532170910854,851.7532170910854,851.7532170910854,851.7532170910854,851.7532170910854,851.7532170910854,851.7532170910854,switch,number,numSwt,f,0.6693947669118643,vtsPrac,852.4540173059795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99640,2022-11-10_14h07.36.122,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.10686973656437,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,22,0,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,882,,,858.2104180799797,,160,Y,triangle,0.0014795288443565369,,,,,0,0,,,2,,,,,,,,,854.9398085330613,854.9398085330613,854.9398085330613,854.9398085330613,856.4417746609543,856.4417746609543,856.4417746609543,856.4417746609543,856.4417746609543,856.4417746609543,856.4417746609543,856.4417746609543,repeat,number,NA,d,0.23449383699335158,vtsPrac,856.7086285799742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99640,2022-11-10_14h07.36.122,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.10686973656437,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,23,0,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,882,,,863.0656837869901,,146,H,star,0.0012539790477603674,,,,,1,1,,,2,,,,,,,,,859.1946561820805,859.1946561820805,859.1946561820805,859.1946561820805,860.6963814510964,860.6963814510964,860.6963814510964,860.6963814510964,860.6963814510964,860.6963814510964,860.6963814510964,860.6963814510964,switch,letter,lettSwt,j,0.8409564581234008,vtsPrac,861.56533420505,863.0656837869901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99640,2022-11-10_14h07.36.122,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.10686973656437,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,24,0,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,882,,,868.0044128650334,,167,U,circle,0.0012375661171972752,,,,,1,0,,,2,,,,,,,,,864.0501681570895,864.0501681570895,864.0501681570895,864.0501681570895,865.5515373570379,865.5515373570379,865.5515373570379,865.5515373570379,865.5515373570379,865.5515373570379,865.5515373570379,865.5515373570379,repeat,letter,lettRpt,k,0.9243442770093679,vtsPrac,866.5027866761666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99640,2022-11-10_14h07.36.122,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.10686973656437,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,25,0,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,882,,,874.161144901067,,160,F,star,0.0013156819622963667,,,,,1,0,,,2,,,,,,,,,868.9885917920619,868.9885917920619,868.9885917920619,868.9885917920619,870.4905214160681,870.4905214160681,870.4905214160681,870.4905214160681,870.4905214160681,870.4905214160681,870.4905214160681,870.4905214160681,switch,number,numSwt,f,2.1388262640684843,vtsPrac,872.6595026981086,874.161144901067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99640,2022-11-10_14h07.36.122,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.10686973656437,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,26,0,26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,882,,,879.3001583470032,,174,W,circle,0.0010852620471268892,,,,,1,0,,,2,,,,,,,,,875.1457064519636,875.1457064519636,875.1457064519636,875.1457064519636,876.6471306001768,876.6471306001768,876.6471306001768,876.6471306001768,876.6471306001768,876.6471306001768,876.6471306001768,876.6471306001768,repeat,number,numRpt,f,1.1244354411028326,vtsPrac,877.7983664099593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99640,2022-11-10_14h07.36.122,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.10686973656437,
