LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,fix.started,training_feedback_txt.stopped,fix.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,top_target_prac1.stopped,tgt_fix_prac1.stopped,bott_target_prac1.stopped,target_resp_prac1.stopped,acc,E1,target_resp_prac1.keys,pracBlock,prac_fback_text.started,prac_fback_text.stopped,target_resp_prac1.rt,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,star.started,hegagon.started,triangle.started,circle.started,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,vts_fback.started,vts_fback.stopped,blockNum,norew_fback.started,norew_fback.stopped,key_resp_2.keys,key_resp_2.rt,rewExpectancy,feedbk_text.started,feedbk_text.stopped,text_3.started,debrief.started,text_3.stopped,button.started,debrief.index,debrief.itemText,debrief.type,debrief.granularity,debrief.font,debrief.markerColor,debrief.response,debrief.rt,button.numClicks,button.timesOn,button.timesOff,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,928.105072453036,space,37.40008319995832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22944,2022-11-03_11h17.52.609,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.245978051680225,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,0,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,988.5720028129872,988.5720028129872,988.5720028129872,988.5720028129872,988.5720028129872,988.5720028129872,988.5720028129872,988.5720028129872,988.5720028129872,988.5720028129872,a,1.5383518299786374,1,1,0,990.1401601230027,991.6418192420388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22944,2022-11-03_11h17.52.609,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.245978051680225,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,0,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992.1423724250635,992.1423724250635,992.1423724250635,992.1423724250635,992.1423724250635,992.1423724250635,992.1423724250635,992.1423724250635,992.1423724250635,992.1423724250635,a,2.11009055795148,1,2,0,994.2782627460547,995.7798096510815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22944,2022-11-03_11h17.52.609,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.245978051680225,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,0,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,996.2805546360323,996.2805546360323,996.2805546360323,996.2805546360323,996.2805546360323,996.2805546360323,996.2805546360323,996.2805546360323,996.2805546360323,996.2805546360323,l,1.480990724870935,1,3,0,997.7819667049916,999.2835862979991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22944,2022-11-03_11h17.52.609,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.245978051680225,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,0,3,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999.7840469049988,999.7840469049988,999.7840469049988,999.7840469049988,999.7840469049988,999.7840469049988,999.7840469049988,999.7840469049988,999.7840469049988,999.7840469049988,a,1.9709851728985086,10,13,0,1001.7864900280256,1003.2880820609862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22944,2022-11-03_11h17.52.609,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.245978051680225,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,0,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1003.7886681410018,1003.7886681410018,1003.7886681410018,1003.7886681410018,1003.7886681410018,1003.7886681410018,1003.7886681410018,1003.7886681410018,1003.7886681410018,1003.7886681410018,l,2.0054713720455766,10,23,0,1005.8243978020037,1007.3257277130615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22944,2022-11-03_11h17.52.609,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.245978051680225,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1007.8263438510476,1007.8263438510476,1007.8263438510476,1007.8263438510476,1007.8263438510476,1007.8263438510476,1007.8263438510476,1007.8263438510476,1007.8263438510476,1007.8263438510476,a,3.154555458924733,10,33,0,1011.0131753970636,1012.5147600399796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22944,2022-11-03_11h17.52.609,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.245978051680225,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,0,6,6,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1013.0153366860468,1013.0153366860468,1013.0153366860468,1013.0153366860468,1013.0153366860468,1013.0153366860468,1013.0153366860468,1013.0153366860468,1013.0153366860468,1013.0153366860468,l,5.3138905769446865,10,43,0,1018.3546110310126,1019.8563690350857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22944,2022-11-03_11h17.52.609,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.245978051680225,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,0,7,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1020.3568663980113,1020.3568663980113,1020.3568663980113,1020.3568663980113,1020.3568663980113,1020.3568663980113,1020.3568663980113,1020.3568663980113,1020.3568663980113,1020.3568663980113,l,2.729992337990552,10,53,0,1023.1099830280291,1024.6115997980814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22944,2022-11-03_11h17.52.609,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.245978051680225,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,0,8,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1025.1121452280786,1025.1121452280786,1025.1121452280786,1025.1121452280786,1025.1121452280786,1025.1121452280786,1025.1121452280786,1025.1121452280786,1025.1121452280786,1025.1121452280786,l,4.153320943936706,10,63,0,1029.2833444420248,1030.7850013980642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22944,2022-11-03_11h17.52.609,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.245978051680225,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,0,9,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1031.285654693027,1031.285654693027,1031.285654693027,1031.285654693027,1031.285654693027,1031.285654693027,1031.285654693027,1031.285654693027,1031.285654693027,1031.285654693027,a,3.491228765924461,1,64,0,1034.8061650620075,1036.307898405008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22944,2022-11-03_11h17.52.609,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.245978051680225,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,0,10,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1036.8083971700398,1036.8083971700398,1036.8083971700398,1036.8083971700398,1036.8083971700398,1036.8083971700398,1036.8083971700398,1036.8083971700398,1036.8083971700398,1036.8083971700398,a,2.142839779960923,10,74,0,1038.9774449750548,1040.4791910650674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22944,2022-11-03_11h17.52.609,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.245978051680225,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,0,11,11,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1040.9796885730466,1040.9796885730466,1040.9796885730466,1040.9796885730466,1040.9796885730466,1040.9796885730466,1040.9796885730466,1040.9796885730466,1040.9796885730466,1040.9796885730466,l,1.9307474059751257,10,84,0,1042.9319865650032,1044.433672187035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22944,2022-11-03_11h17.52.609,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.245978051680225,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,1,0,12,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1044.9341761200922,1044.9341761200922,1044.9341761200922,1044.9341761200922,1044.9341761200922,1044.9341761200922,1044.9341761200922,1044.9341761200922,1044.9341761200922,1044.9341761200922,l,1.2515733409672976,1,85,0,1046.2021227030782,1047.703848571051,1047.703848571051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22944,2022-11-03_11h17.52.609,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.245978051680225,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,1,1,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1048.2042780370684,1048.2042780370684,1048.2042780370684,1048.2042780370684,1048.2042780370684,1048.2042780370684,1048.2042780370684,1048.2042780370684,1048.2042780370684,1048.2042780370684,l,1.7717935759574175,1,86,0,1050.0063255050918,1051.5078537870431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22944,2022-11-03_11h17.52.609,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.245978051680225,
