LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,fix.started,training_feedback_txt.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,prac_fback_text.started,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,star.started,hegagon.started,triangle.started,circle.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,top_target.stopped,tgt_fix.stopped,bot_target.stopped,target_resp.stopped,alt,task,condition,target_resp.keys,rewCond,vts_fback.started,vts_fback.stopped,fix.stopped,target_resp.rt,blockNum,norew_fback.started,key_resp_2.keys,key_resp_2.rt,rewExpectancy,feedbk_text.started,feedbk_text.stopped,text_3.started,debrief.started,text_3.stopped,button.started,debrief.index,debrief.itemText,debrief.type,debrief.granularity,debrief.font,debrief.markerColor,debrief.response,debrief.rt,button.numClicks,button.timesOn,button.timesOff,participant,date,expName,psychopyVersion,frameRate
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,0,30,0,30,0,,,,,,,,,,,,,,,,1,1252,,,2184.558683,,U,139,triangle,0.001595963,,,,,1,0,,,,,,,,,,,2181.116308,2181.116308,2181.116308,2181.116308,2182.623094,2182.623094,2182.623094,2182.623094,2182.623094,2182.623094,2182.623094,2182.623094,,,,,repeat,letter,lettRpt,f,Lo,,,,0.401645454,5,,,,low,2183.056995,,,,,,,,,,,,,,,,,69140_2,2022-11-04_09h05.51.782,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94947111
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,0,31,0,31,0,,,,,,,,,,,,,,,,10,1262,,,2189.213707,,F,181,circle,0.001055391,,,,,1,0,,,,,,,,,,,2185.537759,2185.537759,2185.537759,2185.537759,2187.044813,2187.044813,2187.044813,2187.044813,2187.044813,2187.044813,2187.044813,2187.044813,,,,,repeat,letter,lettRpt,d,Lo,,,,0.63902534,5,,,,low,2187.71304,2189.213707,,,,,,,,,,,,,,,,69140_2,2022-11-04_09h05.51.782,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94947111
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,6,0,0,0,0,0,,,,,,,,,,,,,,,,0,1262,,,2201.427185,,D,167,star,0.001460807,,,,,-1,0,,,,,,,,,,,2195.415832,2195.415832,2195.415832,2195.415832,2196.922139,2196.922139,2196.922139,2196.922139,2196.922139,2196.922139,2196.922139,2196.922139,2199.925568,2199.925568,2199.925568,2199.925568,switch,no_choice,NA,None,Lo,,,2201.927855,,6,,space,0.418101012,low,2199.925568,2201.427185,,,,,,,,,,,,,,,,69140_2,2022-11-04_09h05.51.782,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94947111
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,6,0,1,0,1,0,,,,,,,,,,,,,,,,0,1262,,,2206.165963,,H,125,hexagon,0.008659595,,,,,0,0,,,,,,,,,,,2202.423719,2202.423719,2202.423719,2202.423719,2203.930065,2203.930065,2203.930065,2203.930065,2203.930065,2203.930065,2203.930065,2203.930065,,,,,switch,letter,NA,f,Lo,,,,0.706944572,6,,,,low,2204.665354,,,,,,,,,,,,,,,,,69140_2,2022-11-04_09h05.51.782,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94947111
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,6,0,2,0,2,0,,,,,,,,,,,,,,,,1,1263,,,2210.620616,,B,139,circle,0.001698054,,,,,1,1,,,,,,,,,,,2207.147229,2207.147229,2207.147229,2207.147229,2208.651922,2208.651922,2208.651922,2208.651922,2208.651922,2208.651922,2208.651922,2208.651922,,,,,repeat,letter,lettRpt,d,Lo,,,,0.439691812,6,,,,low,2209.119703,,,,,,,,,,,,,,,,,69140_2,2022-11-04_09h05.51.782,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94947111
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,6,0,3,0,3,0,,,,,,,,,,,,,,,,1,1264,,,2215.192327,,W,174,triangle,0.00175004,,,,,1,0,,,,,,,,,,,2211.598647,2211.598647,2211.598647,2211.598647,2213.106799,2213.106799,2213.106799,2213.106799,2213.106799,2213.106799,2213.106799,2213.106799,,,,,repeat,letter,lettRpt,f,Lo,,,,0.553098584,6,,,,low,2213.691085,,,,,,,,,,,,,,,,,69140_2,2022-11-04_09h05.51.782,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94947111
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,6,0,4,0,4,0,,,,,,,,,,,,,,,,1,1265,,,2219.847447,,S,146,circle,0.001680729,,,,,1,0,,,,,,,,,,,2216.172723,2216.172723,2216.172723,2216.172723,2217.678479,2217.678479,2217.678479,2217.678479,2217.678479,2217.678479,2217.678479,2217.678479,,,,,repeat,letter,lettRpt,f,Lo,,,,0.650856869,6,,,,low,2218.346554,,,,,,,,,,,,,,,,,69140_2,2022-11-04_09h05.51.782,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94947111
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,6,0,5,0,5,0,,,,,,,,,,,,,,,,0,1265,,,2224.319218,,F,181,star,0.001310785,,,,,0,0,,,,,,,,,,,2220.826675,2220.826675,2220.826675,2220.826675,2222.333623,2222.333623,2222.333623,2222.333623,2222.333623,2222.333623,2222.333623,2222.333623,,,,,repeat,letter,NA,f,Lo,,,,0.461282667,6,,,,low,2222.818857,,,,,,,,,,,,,,,,,69140_2,2022-11-04_09h05.51.782,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94947111
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,6,0,6,0,6,0,,,,,,,,,,,,,,,,0,1265,,,2228.94079,,U,132,hexagon,0.001620395,,,,,1,1,,,,,,,,,,,2225.297727,2225.297727,2225.297727,2225.297727,2226.805262,2226.805262,2226.805262,2226.805262,2226.805262,2226.805262,2226.805262,2226.805262,,,,,repeat,letter,lettRpt,f,Hi,,,,0.6137416,6,,,,low,2227.4418,,,,,,,,,,,,,,,,,69140_2,2022-11-04_09h05.51.782,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94947111
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,6,0,7,0,7,0,,,,,,,,,,,,,,,,10,1275,,,2233.729512,,Y,160,triangle,0.001540433,,,,,1,0,,,,,,,,,,,2229.918773,2229.918773,2229.918773,2229.918773,2231.426805,2231.426805,2231.426805,2231.426805,2231.426805,2231.426805,2231.426805,2231.426805,,,,,repeat,letter,lettRpt,f,Lo,,,,0.77371133,6,,,,low,2232.228524,,,,,,,,,,,,,,,,,69140_2,2022-11-04_09h05.51.782,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94947111
