LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,fix.started,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,top_target_prac1.stopped,tgt_fix_prac1.stopped,bott_target_prac1.stopped,target_resp_prac1.stopped,acc,E1,target_resp_prac1.keys,pracBlock,prac_fback_text.started,prac_fback_text.stopped,fix.stopped,target_resp_prac1.rt,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,star.started,hegagon.started,triangle.started,circle.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,vts_fback.started,blockNum,norew_fback.started,key_resp_2.keys,key_resp_2.rt,rewExpectancy,feedbk_text.started,feedbk_text.stopped,text_3.started,text_3.stopped,button.started,debrief.index,debrief.itemText,debrief.type,debrief.granularity,debrief.font,debrief.markerColor,debrief.response,debrief.rt,button.numClicks,button.timesOn,button.timesOff,participant,date,expName,psychopyVersion,frameRate,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,0,9,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.11054503300693,105.11054503300693,105.11054503300693,105.11054503300693,105.11054503300693,105.11054503300693,105.11054503300693,105.11054503300693,105.11054503300693,105.11054503300693,l,1.5888966669881484,10,55,0,106.72879586501222,108.23036263100221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92584,2022-10-27_13h57.55.785,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.10451646780016,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,0,10,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.73113709800236,108.73113709800236,108.73113709800236,108.73113709800236,108.73113709800236,108.73113709800236,108.73113709800236,108.73113709800236,108.73113709800236,108.73113709800236,l,1.4333428619866027,10,65,0,110.18268505300512,111.68445946900465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92584,2022-10-27_13h57.55.785,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.10451646780016,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,0,11,11,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.18493429900263,112.18493429900263,112.18493429900263,112.18493429900263,112.18493429900263,112.18493429900263,112.18493429900263,112.18493429900263,112.18493429900263,112.18493429900263,a,0.9696259390038904,1,66,0,113.186005252006,114.68781332801154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92584,2022-10-27_13h57.55.785,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.10451646780016,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,1,0,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.18825420600479,115.18825420600479,115.18825420600479,115.18825420600479,115.18825420600479,115.18825420600479,115.18825420600479,115.18825420600479,115.18825420600479,115.18825420600479,l,1.2788710199965863,10,76,0,116.48981205900782,117.99137063600938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92584,2022-10-27_13h57.55.785,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.10451646780016,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,1,1,13,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.49187417101348,118.49187417101348,118.49187417101348,118.49187417101348,118.49187417101348,118.49187417101348,118.49187417101348,118.49187417101348,118.49187417101348,118.49187417101348,a,1.5353962590015726,10,86,0,120.06043329200475,121.56190795500879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92584,2022-10-27_13h57.55.785,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.10451646780016,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,1,2,14,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.06248503101233,122.06248503101233,122.06248503101233,122.06248503101233,122.06248503101233,122.06248503101233,122.06248503101233,122.06248503101233,122.06248503101233,122.06248503101233,a,1.4443428980011959,10,96,0,123.53076855800464,125.03247612300038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92584,2022-10-27_13h57.55.785,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.10451646780016,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,1,3,15,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.53295541000261,125.53295541000261,125.53295541000261,125.53295541000261,125.53295541000261,125.53295541000261,125.53295541000261,125.53295541000261,125.53295541000261,125.53295541000261,l,2.4536920910031768,1,97,0,128.019184942008,129.52067409800657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92584,2022-10-27_13h57.55.785,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.10451646780016,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,1,4,16,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.02133221300028,130.02133221300028,130.02133221300028,130.02133221300028,130.02133221300028,130.02133221300028,130.02133221300028,130.02133221300028,130.02133221300028,130.02133221300028,l,1.9346209600043949,1,98,0,131.97345573900384,133.47513108400744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92584,2022-10-27_13h57.55.785,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.10451646780016,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,1,5,17,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.97574002700276,133.97574002700276,133.97574002700276,133.97574002700276,133.97574002700276,133.97574002700276,133.97574002700276,133.97574002700276,133.97574002700276,133.97574002700276,l,1.995859026996186,10,108,0,135.9945459990122,137.4963859420095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92584,2022-10-27_13h57.55.785,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.10451646780016,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,1,6,18,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.99687743899995,137.99687743899995,137.99687743899995,137.99687743899995,137.99687743899995,137.99687743899995,137.99687743899995,137.99687743899995,137.99687743899995,137.99687743899995,a,1.4220986319996882,1,109,0,139.44832239800598,140.94992404500954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92584,2022-10-27_13h57.55.785,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.10451646780016,
