LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,training_feedback_txt.stopped,fix.started,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,prac_fback_text.started,prac_fback_text.stopped,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,star.started,hegagon.started,triangle.started,circle.started,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,vts_fback.started,vts_fback.stopped,fix.stopped,blockNum,norew_fback.started,norew_fback.stopped,key_resp_2.keys,key_resp_2.rt,rewExpectancy,feedbk_text.started,feedbk_text.stopped,text_3.started,debrief.started,text_3.stopped,button.started,debrief.index,debrief.itemText,debrief.type,debrief.granularity,debrief.font,debrief.markerColor,debrief.response,debrief.rt,button.numClicks,button.timesOn,button.timesOff,participant,date,expName,psychopyVersion,frameRate,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,0,9,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.28397113701794,106.28397113701794,106.28397113701794,106.28397113701794,106.28397113701794,106.28397113701794,106.28397113701794,106.28397113701794,106.28397113701794,106.28397113701794,l,1.1357075350824744,1,46,0,107.45200369891245,,108.95349961798638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40967,2022-11-29_14h06.59.574,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.87532579691902,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,0,10,10,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.4542188179912,109.4542188179912,109.4542188179912,109.4542188179912,109.4542188179912,109.4542188179912,109.4542188179912,109.4542188179912,109.4542188179912,109.4542188179912,a,0.8010818251641467,10,56,0,110.27176445792429,111.77325072395615,111.77325072395615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40967,2022-11-29_14h06.59.574,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.87532579691902,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.27389622293413,112.27389622293413,112.27389622293413,112.27389622293413,112.27389622293413,112.27389622293413,112.27389622293413,112.27389622293413,112.27389622293413,112.27389622293413,l,1.0748923901701346,10,66,0,113.37505555397365,,114.87672871898394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40967,2022-11-29_14h06.59.574,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.87532579691902,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,1,0,12,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.37729714496527,115.37729714496527,115.37729714496527,115.37729714496527,115.37729714496527,115.37729714496527,115.37729714496527,115.37729714496527,115.37729714496527,115.37729714496527,a,0.6595079390099272,10,76,0,116.0614103639964,,117.56325787992682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40967,2022-11-29_14h06.59.574,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.87532579691902,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,1,1,13,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.06370420695748,118.06370420695748,118.06370420695748,118.06370420695748,118.06370420695748,118.06370420695748,118.06370420695748,118.06370420695748,118.06370420695748,118.06370420695748,l,0.9773413941729814,1,77,0,119.06492490891833,,120.56652821996249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40967,2022-11-29_14h06.59.574,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.87532579691902,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,1,2,14,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.06687036401127,121.06687036401127,121.06687036401127,121.06687036401127,121.06687036401127,121.06687036401127,121.06687036401127,121.06687036401127,121.06687036401127,121.06687036401127,l,0.9210927040548995,10,87,0,122.01809125195723,,123.51983603893314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40967,2022-11-29_14h06.59.574,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.87532579691902,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,1,3,15,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.02017259795684,124.02017259795684,124.02017259795684,124.02017259795684,124.02017259795684,124.02017259795684,124.02017259795684,124.02017259795684,124.02017259795684,124.02017259795684,l,0.5013656760565937,10,97,0,124.55410862900317,,126.05597806291189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40967,2022-11-29_14h06.59.574,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.87532579691902,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,1,4,16,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.55646149197128,126.55646149197128,126.55646149197128,126.55646149197128,126.55646149197128,126.55646149197128,126.55646149197128,126.55646149197128,126.55646149197128,126.55646149197128,l,0.4849352780729532,10,107,0,127.0735482450109,,128.57523913891055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40967,2022-11-29_14h06.59.574,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.87532579691902,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,1,5,17,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.07580806897022,129.07580806897022,129.07580806897022,129.07580806897022,129.07580806897022,129.07580806897022,129.07580806897022,129.07580806897022,129.07580806897022,129.07580806897022,l,0.7426119201118127,10,117,0,129.84325571893714,,131.34493295196444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40967,2022-11-29_14h06.59.574,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.87532579691902,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,1,6,18,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.84546472691,131.84546472691,131.84546472691,131.84546472691,131.84546472691,131.84546472691,131.84546472691,131.84546472691,131.84546472691,131.84546472691,a,0.5517438850365579,1,118,0,132.42955179000273,,133.9310549829388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40967,2022-11-29_14h06.59.574,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.87532579691902,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,1,7,19,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.43177826795727,134.43177826795727,134.43177826795727,134.43177826795727,134.43177826795727,134.43177826795727,134.43177826795727,134.43177826795727,134.43177826795727,134.43177826795727,l,0.6184044791152701,10,128,0,135.08236987993587,,136.58411176898517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40967,2022-11-29_14h06.59.574,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.87532579691902,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,1,8,20,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.08457167400047,137.08457167400047,137.08457167400047,137.08457167400047,137.08457167400047,137.08457167400047,137.08457167400047,137.08457167400047,137.08457167400047,137.08457167400047,a,0.6099260800983757,1,129,0,137.7186632619705,,139.22027319401968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40967,2022-11-29_14h06.59.574,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.87532579691902,
