LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,fix.started,training_feedback_txt.stopped,fix.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,prac_fback_text.started,prac_fback_text.stopped,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,star.started,hegagon.started,triangle.started,circle.started,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,vts_fback.started,vts_fback.stopped,blockNum,norew_fback.started,norew_fback.stopped,top_target.stopped,tgt_fix.stopped,bot_target.stopped,target_resp.stopped,key_resp_2.keys,key_resp_2.rt,rewExpectancy,feedbk_text.started,feedbk_text.stopped,text_3.started,text_3.stopped,button.started,debrief.index,debrief.itemText,debrief.type,debrief.granularity,debrief.font,debrief.markerColor,debrief.response,debrief.rt,button.numClicks,button.timesOn,button.timesOff,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,4,0,4,0,,,,,,,,,,,,,,,,1,1165,,,1844.1909765889868,,,U,132,circle,0.0013157339999452233,,,,,1,0,,,,,,,,,,,,1840.1700833769864,1840.1700833769864,1840.1700833769864,1840.1700833769864,1841.6716543569928,1841.6716543569928,1841.6716543569928,1841.6716543569928,1841.6716543569928,1841.6716543569928,1841.6716543569928,1841.6716543569928,switch,number,numSwt,j,0.9834895360108931,Lo,,,3,,,,,,,,,high,1842.6895419670036,,,,,,,,,,,,,,,,33061,2022-10-28_09h07.49.385,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.88539827420625,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,5,0,5,0,,,,,,,,,,,,,,,,0,1165,,,1849.0297603469808,,,D,125,triangle,0.01697605798835866,,,,,1,0,,,,,,,,,,,,1845.1757404269883,1845.1757404269883,1845.1757404269883,1845.1757404269883,1846.6605980089807,1846.6605980089807,1846.6605980089807,1846.6605980089807,1846.6772462219815,1846.6772462219815,1846.6772462219815,1846.6772462219815,repeat,number,numRpt,j,0.8415253910061438,Hi,,,3,,,,,,,,,high,1847.5448517680052,,,,,,,,,,,,,,,,33061,2022-10-28_09h07.49.385,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.88539827420625,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,6,0,6,0,,,,,,,,,,,,,,,,0,1165,,,1853.6683659369883,,,W,139,star,0.0011325750092510134,,,,,1,0,,,,,,,,,,,,1850.0142464689852,1850.0142464689852,1850.0142464689852,1850.0142464689852,1851.516108773998,1851.516108773998,1851.516108773998,1851.516108773998,1851.516108773998,1851.516108773998,1851.516108773998,1851.516108773998,repeat,number,numRpt,j,0.6247150160197634,Hi,,,3,,,,,,,,,high,1852.1834397869825,,,,,,,,,,,,,,,,33061,2022-10-28_09h07.49.385,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.88539827420625,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,7,0,7,0,,,,,,,,,,,,,,,,10,1175,,,1858.0731131270004,,,H,181,hexagon,0.0011038049997296184,,,,,1,0,,,,,,,,,,,,1854.6526274170028,1854.6526274170028,1854.6526274170028,1854.6526274170028,1856.1543668480008,1856.1543668480008,1856.1543668480008,1856.1543668480008,1856.1543668480008,1856.1543668480008,1856.1543668480008,1856.1543668480008,repeat,number,numRpt,k,0.3943943530030083,Lo,,,3,,,,,,,,,high,1856.5883789669897,,,,,,,,,,,,,,,,33061,2022-10-28_09h07.49.385,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.88539827420625,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,8,0,8,0,,,,,,,,,,,,,,,,0,1175,,,1862.6616516739887,,,S,167,triangle,0.0012941460008732975,,,,,1,0,,,,,,,,,,,,1859.0576919589948,1859.0576919589948,1859.0576919589948,1859.0576919589948,1860.5593833779858,1860.5593833779858,1860.5593833779858,1860.5593833779858,1860.5593833779858,1860.5593833779858,1860.5593833779858,1860.5593833779858,switch,letter,lettSwt,f,0.5662712010089308,Hi,,,3,,,,,,,,,high,1861.1601210539811,,,,,,,,,,,,,,,,33061,2022-10-28_09h07.49.385,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.88539827420625,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,9,0,9,0,,,,,,,,,,,,,,,,1,1176,,,1867.1331517490034,,,B,160,circle,0.0009702079987619072,,,,,1,0,,,,,,,,,,,,1863.6294385739893,1863.6294385739893,1863.6294385739893,1863.6294385739893,1865.1308773180062,1865.1308773180062,1865.1308773180062,1865.1308773180062,1865.1308773180062,1865.1308773180062,1865.1308773180062,1865.1308773180062,repeat,letter,lettRpt,d,0.4667004770017229,Lo,,,3,,,,,,,,,high,1865.6314635190065,,,,,,,,,,,,,,,,33061,2022-10-28_09h07.49.385,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.88539827420625,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,10,0,10,0,,,,,,,,,,,,,,,,1,1177,,,1871.6380765619979,,,F,174,hexagon,0.0010166949941776693,,,,,1,0,,,,,,,,,,,,1868.1008502439945,1868.1008502439945,1868.1008502439945,1868.1008502439945,1869.602605174994,1869.602605174994,1869.602605174994,1869.602605174994,1869.602605174994,1869.602605174994,1869.602605174994,1869.602605174994,switch,number,numSwt,k,0.498739436006872,Lo,,,3,,,,,,,,,high,1870.1363729870063,,,,,,,,,,,,,,,,33061,2022-10-28_09h07.49.385,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.88539827420625,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,11,0,11,0,,,,,,,,,,,,,,,,10,1187,,,1876.0598805779882,,,Y,146,star,0.0012040169967804104,,,,,1,0,,,,,,,,,,,,1872.6057174989837,1872.6057174989837,1872.6057174989837,1872.6057174989837,1874.107536483003,1874.107536483003,1874.107536483003,1874.107536483003,1874.107536483003,1874.107536483003,1874.107536483003,1874.107536483003,repeat,number,numRpt,j,0.4015195860120002,Hi,,,3,,,,,,,,,high,1874.5579487229988,1876.0598805779882,,,,,,,,,,,,,,,33061,2022-10-28_09h07.49.385,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.88539827420625,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,12,0,12,0,,,,,,,,,,,,,,,,10,1197,,,1880.4981022150023,,,U,132,star,0.0009978169982787222,,,,,1,0,,,,,,,,,,,,1877.0440034589847,1877.0440034589847,1877.0440034589847,1877.0440034589847,1878.545746282005,1878.545746282005,1878.545746282005,1878.545746282005,1878.545746282005,1878.545746282005,1878.545746282005,1878.545746282005,repeat,number,numRpt,j,0.4262987260008231,Hi,,,3,,,,,,,,,high,1879.0129134989984,,,,,,,,,,,,,,,,33061,2022-10-28_09h07.49.385,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.88539827420625,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,13,0,13,0,,,,,,,,,,,,,,,,1,1198,,,1884.9863110870065,,,D,125,circle,0.0013210389879532158,,,,,1,0,,,,,,,,,,,,1881.4822550429963,1881.4822550429963,1881.4822550429963,1881.4822550429963,1882.9839077779907,1882.9839077779907,1882.9839077779907,1882.9839077779907,1882.9839077779907,1882.9839077779907,1882.9839077779907,1882.9839077779907,switch,letter,lettSwt,d,0.4766267850063741,Lo,,,3,,,,,,,,,high,1883.5011308999965,,,,,,,,,,,,,,,,33061,2022-10-28_09h07.49.385,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.88539827420625,
