LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,fix.started,training_feedback_txt.stopped,fix.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,prac_fback_text.started,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,star.started,hegagon.started,triangle.started,circle.started,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,vts_fback.started,vts_fback.stopped,top_target.stopped,tgt_fix.stopped,bot_target.stopped,target_resp.stopped,blockNum,norew_fback.started,norew_fback.stopped,key_resp_2.keys,key_resp_2.rt,rewExpectancy,feedbk_text.started,feedbk_text.stopped,text_3.started,debrief.started,text_3.stopped,button.started,debrief.index,debrief.itemText,debrief.type,debrief.granularity,debrief.font,debrief.markerColor,debrief.response,debrief.rt,button.numClicks,button.timesOn,button.timesOff,participant,date,expName,psychopyVersion,frameRate,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,0,9,9,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343.472135782009,343.472135782009,343.472135782009,343.472135782009,343.472135782009,343.472135782009,343.472135782009,343.472135782009,343.472135782009,343.472135782009,a,0.6367053519934416,1,37,0,344.14093139301986,345.64167796005495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46408,2022-11-17_08h05.19.621,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.95665152737822,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,0,10,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346.14197337813675,346.14197337813675,346.14197337813675,346.14197337813675,346.14197337813675,346.14197337813675,346.14197337813675,346.14197337813675,346.14197337813675,346.14197337813675,l,0.7246042948681861,10,47,0,346.8944038921036,348.40938920597546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46408,2022-11-17_08h05.19.621,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.95665152737822,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,0,11,11,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,348.9093136440497,348.9093136440497,348.9093136440497,348.9093136440497,348.9093136440497,348.9093136440497,348.9093136440497,348.9093136440497,348.9093136440497,348.9093136440497,a,0.7572876820340753,1,48,0,349.70363351213746,351.21227620192803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46408,2022-11-17_08h05.19.621,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.95665152737822,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,1,0,12,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351.69588103797287,351.69588103797287,351.69588103797287,351.69588103797287,351.69588103797287,351.69588103797287,351.69588103797287,351.69588103797287,351.69588103797287,351.69588103797287,a,0.49100884213112295,10,58,0,352.21596884098835,353.72978633013554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46408,2022-11-17_08h05.19.621,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.95665152737822,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,1,1,13,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354.22970113996416,354.22970113996416,354.22970113996416,354.22970113996416,354.22970113996416,354.22970113996416,354.22970113996416,354.22970113996416,354.22970113996416,354.22970113996416,l,0.5907838379498571,10,68,0,354.8519433189649,356.3493198750075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46408,2022-11-17_08h05.19.621,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.95665152737822,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,1,2,14,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356.84932440612465,356.84932440612465,356.84932440612465,356.84932440612465,356.84932440612465,356.84932440612465,356.84932440612465,356.84932440612465,356.84932440612465,356.84932440612465,a,0.6590960659086704,1,69,0,357.53636642708443,359.050234104041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46408,2022-11-17_08h05.19.621,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.95665152737822,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,1,3,15,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359.5354544711299,359.5354544711299,359.5354544711299,359.5354544711299,359.5354544711299,359.5354544711299,359.5354544711299,359.5354544711299,359.5354544711299,359.5354544711299,a,0.4938514898531139,1,70,0,360.05589737393893,361.56959200208075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46408,2022-11-17_08h05.19.621,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.95665152737822,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,1,4,16,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.06983675807714,362.06983675807714,362.06983675807714,362.06983675807714,362.06983675807714,362.06983675807714,362.06983675807714,362.06983675807714,362.06983675807714,362.06983675807714,l,0.456318014068529,10,80,0,362.5553514091298,364.054054700071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46408,2022-11-17_08h05.19.621,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.95665152737822,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,1,5,17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364.5557625910733,364.5557625910733,364.5557625910733,364.5557625910733,364.5557625910733,364.5557625910733,364.5557625910733,364.5557625910733,364.5557625910733,364.5557625910733,l,1.0088856189977378,10,90,0,365.5927462859545,367.10705402796157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46408,2022-11-17_08h05.19.621,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.95665152737822,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,1,6,18,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367.6069666619878,367.6069666619878,367.6069666619878,367.6069666619878,367.6069666619878,367.6069666619878,367.6069666619878,367.6069666619878,367.6069666619878,367.6069666619878,a,1.1746733279433101,1,91,0,368.8097157590091,370.30974594992585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46408,2022-11-17_08h05.19.621,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.95665152737822,
