LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,fix.started,training_feedback_txt.stopped,fix.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,prac_fback_text.started,prac_fback_text.stopped,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,star.started,hegagon.started,triangle.started,circle.started,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,top_target.stopped,tgt_fix.stopped,bot_target.stopped,target_resp.stopped,alt,task,condition,target_resp.keys,rewCond,vts_fback.started,target_resp.rt,vts_fback.stopped,blockNum,norew_fback.started,norew_fback.stopped,key_resp_2.keys,key_resp_2.rt,rewExpectancy,feedbk_text.started,feedbk_text.stopped,text_3.started,debrief.started,text_3.stopped,button.started,debrief.index,debrief.itemText,debrief.type,debrief.granularity,debrief.font,debrief.markerColor,debrief.response,debrief.rt,button.numClicks,button.timesOn,button.timesOff,participant,date,expName,psychopyVersion,frameRate,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,0,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.41053036402445,160.41053036402445,160.41053036402445,160.41053036402445,160.41053036402445,160.41053036402445,160.41053036402445,160.41053036402445,160.41053036402445,160.41053036402445,a,0.3929965440183878,10,73,0,160.82746053300798,162.32972172705922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11628,2022-11-09_14h26.00.408,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.0832688402612,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,0,10,10,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.83002348605078,162.83002348605078,162.83002348605078,162.83002348605078,162.83002348605078,162.83002348605078,162.83002348605078,162.83002348605078,162.83002348605078,162.83002348605078,a,0.3229390939231962,10,83,0,163.18026741908398,164.68062114703935,164.68062114703935,165.18071477802005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11628,2022-11-09_14h26.00.408,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.0832688402612,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,0,11,11,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.18071477802005,165.18071477802005,165.18071477802005,165.18071477802005,165.18071477802005,165.18071477802005,165.18071477802005,165.18071477802005,165.18071477802005,165.18071477802005,l,0.3009744859300554,10,93,0,165.51441409008112,167.01659801707137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11628,2022-11-09_14h26.00.408,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.0832688402612,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,1,0,12,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.51672830607276,167.51672830607276,167.51672830607276,167.51672830607276,167.51672830607276,167.51672830607276,167.51672830607276,167.51672830607276,167.51672830607276,167.51672830607276,l,0.31688161089550704,10,103,0,167.85010495607276,169.35094737401232,169.35094737401232,169.8511425650213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11628,2022-11-09_14h26.00.408,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.0832688402612,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,1,1,13,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.8511425650213,169.8511425650213,169.8511425650213,169.8511425650213,169.8511425650213,169.8511425650213,169.8511425650213,169.8511425650213,169.8511425650213,169.8511425650213,l,0.3571948668686673,10,113,0,170.2342928770231,171.73497762007173,171.73497762007173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11628,2022-11-09_14h26.00.408,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.0832688402612,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,1,2,14,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.23718580999412,172.23718580999412,172.23718580999412,172.23718580999412,172.23718580999412,172.23718580999412,172.23718580999412,172.23718580999412,172.23718580999412,172.23718580999412,l,0.6476554778637365,10,123,0,172.9039014420705,174.40470161207486,174.40470161207486,174.90477804408874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11628,2022-11-09_14h26.00.408,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.0832688402612,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,1,3,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.90477804408874,174.90477804408874,174.90477804408874,174.90477804408874,174.90477804408874,174.90477804408874,174.90477804408874,174.90477804408874,174.90477804408874,174.90477804408874,a,0.3423250849591568,10,133,0,175.27136099501513,176.7720167270163,176.7720167270163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11628,2022-11-09_14h26.00.408,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.0832688402612,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,1,4,16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.27399817307014,177.27399817307014,177.27399817307014,177.27399817307014,177.27399817307014,177.27399817307014,177.27399817307014,177.27399817307014,177.27399817307014,177.27399817307014,a,0.32539544987957925,1,134,0,177.624992917059,179.12477668607607,179.12477668607607,179.62504521303345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11628,2022-11-09_14h26.00.408,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.0832688402612,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,1,5,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.62504521303345,179.62504521303345,179.62504521303345,179.62504521303345,179.62504521303345,179.62504521303345,179.62504521303345,179.62504521303345,179.62504521303345,179.62504521303345,a,0.33608742291107774,10,144,0,179.99254984606523,181.4922525830334,181.4922525830334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11628,2022-11-09_14h26.00.408,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.0832688402612,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,1,6,18,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.99428709805943,181.99428709805943,181.99428709805943,181.99428709805943,181.99428709805943,181.99428709805943,181.99428709805943,181.99428709805943,181.99428709805943,181.99428709805943,a,0.38606651686131954,10,154,0,182.41091990610585,183.9116826390382,183.9116826390382,184.41197033110075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11628,2022-11-09_14h26.00.408,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.0832688402612,
