LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,training_feedback_txt.stopped,fix.started,fix.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,prac_fback_text.started,prac_fback_text.stopped,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,star.started,hegagon.started,triangle.started,circle.started,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,vts_fback.started,vts_fback.stopped,blockNum,norew_fback.started,norew_fback.stopped,key_resp_2.keys,key_resp_2.rt,rewExpectancy,feedbk_text.started,feedbk_text.stopped,top_target.stopped,tgt_fix.stopped,bot_target.stopped,target_resp.stopped,text_3.started,debrief.started,text_3.stopped,button.started,debrief.index,debrief.itemText,debrief.type,debrief.granularity,debrief.font,debrief.markerColor,debrief.response,debrief.rt,button.numClicks,button.timesOn,button.timesOff,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.600639232987305,space,21.88730967103038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98110,2022-11-21_14h08.02.994,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.90733772441504,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.81790016999003,64.81790016999003,64.81790016999003,64.81790016999003,64.81790016999003,64.81790016999003,64.81790016999003,64.81790016999003,64.81790016999003,64.81790016999003,a,1.7848623790196143,10,10,0,66.6197203329939,68.12091029598378,68.12091029598378,68.6216261810041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98110,2022-11-21_14h08.02.994,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.90733772441504,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,0,1,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.6216261810041,68.6216261810041,68.6216261810041,68.6216261810041,68.6216261810041,68.6216261810041,68.6216261810041,68.6216261810041,68.6216261810041,68.6216261810041,a,2.12014734101831,10,20,0,70.77419619099237,72.27576902398141,72.27576902398141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98110,2022-11-21_14h08.02.994,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.90733772441504,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,0,2,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.77639008799451,72.77639008799451,72.77639008799451,72.77639008799451,72.77639008799451,72.77639008799451,72.77639008799451,72.77639008799451,72.77639008799451,72.77639008799451,a,1.2518279350188095,10,30,0,74.0609295250033,,75.56284539098851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98110,2022-11-21_14h08.02.994,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.90733772441504,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.06326100599836,76.06326100599836,76.06326100599836,76.06326100599836,76.06326100599836,76.06326100599836,76.06326100599836,76.06326100599836,76.06326100599836,76.06326100599836,a,1.3523323960253038,1,31,0,77.44796548600425,,78.94981132500106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98110,2022-11-21_14h08.02.994,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.90733772441504,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.45005691799452,79.45005691799452,79.45005691799452,79.45005691799452,79.45005691799452,79.45005691799452,79.45005691799452,79.45005691799452,79.45005691799452,79.45005691799452,l,0.8683305210142862,1,32,0,80.351096407976,,81.85274949899758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98110,2022-11-21_14h08.02.994,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.90733772441504,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,0,5,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.35332554898923,82.35332554898923,82.35332554898923,82.35332554898923,82.35332554898923,82.35332554898923,82.35332554898923,82.35332554898923,82.35332554898923,82.35332554898923,a,1.4051504230010323,10,42,0,83.78818975397735,,85.29028166100034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98110,2022-11-21_14h08.02.994,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.90733772441504,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,0,6,6,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.79053424097947,85.79053424097947,85.79053424097947,85.79053424097947,85.79053424097947,85.79053424097947,85.79053424097947,85.79053424097947,85.79053424097947,85.79053424097947,a,1.2650389689952135,10,52,0,87.07540538298781,,88.57703251898056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98110,2022-11-21_14h08.02.994,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.90733772441504,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,0,7,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.07745289997547,89.07745289997547,89.07745289997547,89.07745289997547,89.07745289997547,89.07745289997547,89.07745289997547,89.07745289997547,89.07745289997547,89.07745289997547,a,0.9361153450154234,1,53,0,90.04521935799858,,91.54692505000276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98110,2022-11-21_14h08.02.994,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.90733772441504,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,0,8,8,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.047693289991,92.047693289991,92.047693289991,92.047693289991,92.047693289991,92.047693289991,92.047693289991,92.047693289991,92.047693289991,92.047693289991,a,1.1850530020019505,1,54,0,93.26549927599262,94.7670411989966,94.7670411989966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98110,2022-11-21_14h08.02.994,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.90733772441504,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,0,9,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.26773670100374,95.26773670100374,95.26773670100374,95.26773670100374,95.26773670100374,95.26773670100374,95.26773670100374,95.26773670100374,95.26773670100374,95.26773670100374,l,1.6773377490171697,1,55,0,96.9695328239759,,98.47122604999458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98110,2022-11-21_14h08.02.994,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.90733772441504,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,0,10,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.97159858999657,98.97159858999657,98.97159858999657,98.97159858999657,98.97159858999657,98.97159858999657,98.97159858999657,98.97159858999657,98.97159858999657,98.97159858999657,l,1.629009196010884,1,56,0,100.62341528898105,,102.1251588529849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98110,2022-11-21_14h08.02.994,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.90733772441504,
