LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,fix.started,training_feedback_txt.stopped,fix.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,prac_fback_text.started,prac_fback_text.stopped,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,top_target_prac2.stopped,bott_target_prac2.stopped,target_resp_prac2.stopped,star.started,hegagon.started,triangle.started,circle.started,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,vts_fback.started,vts_fback.stopped,blockNum,norew_fback.started,top_target.stopped,tgt_fix.stopped,bot_target.stopped,target_resp.stopped,norew_fback.stopped,key_resp_2.keys,key_resp_2.rt,rewExpectancy,feedbk_text.started,feedbk_text.stopped,text_3.started,debrief.started,text_3.stopped,button.started,debrief.index,debrief.itemText,debrief.type,debrief.granularity,debrief.font,debrief.markerColor,debrief.response,debrief.rt,button.numClicks,button.timesOn,button.timesOff,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318.3723807509523,space,12.73519814806059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59446,2022-11-16_14h33.19.232,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94312095600669,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,0,0,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344.0035197469406,344.0035197469406,344.0035197469406,344.0035197469406,344.0035197469406,344.0035197469406,344.0035197469406,344.0035197469406,344.0035197469406,344.0035197469406,l,0.9748794520273805,10,10,0,345.01143809384666,346.52637985604815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59446,2022-11-16_14h33.19.232,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94312095600669,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347.0264487080276,347.0264487080276,347.0264487080276,347.0264487080276,347.0264487080276,347.0264487080276,347.0264487080276,347.0264487080276,347.0264487080276,347.0264487080276,a,0.945601694053039,10,20,0,347.9933251498733,349.4959745318629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59446,2022-11-16_14h33.19.232,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94312095600669,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349.99637713306583,349.99637713306583,349.99637713306583,349.99637713306583,349.99637713306583,349.99637713306583,349.99637713306583,349.99637713306583,349.99637713306583,349.99637713306583,a,1.3608366700354964,10,30,0,351.37987830792554,352.8804814100731,352.8804814100731,353.3807575989049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59446,2022-11-16_14h33.19.232,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94312095600669,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,0,3,3,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353.3807575989049,353.3807575989049,353.3807575989049,353.3807575989049,353.3807575989049,353.3807575989049,353.3807575989049,353.3807575989049,353.3807575989049,353.3807575989049,l,1.7692233270499855,10,40,0,355.1664913778659,356.66709173098207,356.66709173098207,357.1672926938627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59446,2022-11-16_14h33.19.232,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94312095600669,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,357.1672926938627,357.1672926938627,357.1672926938627,357.1672926938627,357.1672926938627,357.1672926938627,357.1672926938627,357.1672926938627,357.1672926938627,357.1672926938627,a,1.649127050768584,10,50,0,358.83632070198655,360.33681266289204,360.33681266289204,360.83704368094914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59446,2022-11-16_14h33.19.232,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94312095600669,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,0,5,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360.83704368094914,360.83704368094914,360.83704368094914,360.83704368094914,360.83704368094914,360.83704368094914,360.83704368094914,360.83704368094914,360.83704368094914,360.83704368094914,a,0.7364143638405949,10,60,0,361.603830663953,363.10444644698873,363.10444644698873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59446,2022-11-16_14h33.19.232,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94312095600669,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,0,6,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363.6066430849023,363.6066430849023,363.6066430849023,363.6066430849023,363.6066430849023,363.6066430849023,363.6066430849023,363.6066430849023,363.6066430849023,363.6066430849023,a,1.9948702498804778,1,61,0,365.624944383977,367.1244893448893,367.1244893448893,367.62483813706785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59446,2022-11-16_14h33.19.232,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94312095600669,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367.62483813706785,367.62483813706785,367.62483813706785,367.62483813706785,367.62483813706785,367.62483813706785,367.62483813706785,367.62483813706785,367.62483813706785,367.62483813706785,l,0.8219511660281569,10,71,0,368.47735633398406,369.9773801548872,369.9773801548872,370.47773855389096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59446,2022-11-16_14h33.19.232,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94312095600669,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,0,8,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370.47773855389096,370.47773855389096,370.47773855389096,370.47773855389096,370.47773855389096,370.47773855389096,370.47773855389096,370.47773855389096,370.47773855389096,370.47773855389096,a,0.5566906989552081,10,81,0,371.0609133790713,372.5615565830376,372.5615565830376,373.0617845079396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59446,2022-11-16_14h33.19.232,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94312095600669,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,0,9,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,373.0617845079396,373.0617845079396,373.0617845079396,373.0617845079396,373.0617845079396,373.0617845079396,373.0617845079396,373.0617845079396,373.0617845079396,373.0617845079396,a,0.5608337798621505,10,91,0,373.6472952258773,375.1475785190705,375.1475785190705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59446,2022-11-16_14h33.19.232,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94312095600669,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,0,10,10,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375.6479068689514,375.6479068689514,375.6479068689514,375.6479068689514,375.6479068689514,375.6479068689514,375.6479068689514,375.6479068689514,375.6479068689514,375.6479068689514,l,0.9556476369034499,1,92,0,376.63238090090454,378.1321829389781,378.1321829389781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59446,2022-11-16_14h33.19.232,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94312095600669,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,0,11,11,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378.63420917093754,378.63420917093754,378.63420917093754,378.63420917093754,378.63420917093754,378.63420917093754,378.63420917093754,378.63420917093754,378.63420917093754,378.63420917093754,l,0.6475982100237161,10,102,0,379.3017829868477,380.80157502088696,380.80157502088696,381.3016807420645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59446,2022-11-16_14h33.19.232,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94312095600669,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,1,0,12,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,381.3016807420645,381.3016807420645,381.3016807420645,381.3016807420645,381.3016807420645,381.3016807420645,381.3016807420645,381.3016807420645,381.3016807420645,381.3016807420645,l,0.4999547798652202,1,103,0,381.81929189898074,383.3190185269341,383.3190185269341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59446,2022-11-16_14h33.19.232,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94312095600669,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,1,1,13,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,383.8211601700168,383.8211601700168,383.8211601700168,383.8211601700168,383.8211601700168,383.8211601700168,383.8211601700168,383.8211601700168,383.8211601700168,383.8211601700168,a,0.68061145208776,10,113,0,384.52245460404083,386.02211994002573,386.02211994002573,386.5221863540355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59446,2022-11-16_14h33.19.232,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94312095600669,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,1,2,14,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,386.5221863540355,386.5221863540355,386.5221863540355,386.5221863540355,386.5221863540355,386.5221863540355,386.5221863540355,386.5221863540355,386.5221863540355,386.5221863540355,l,0.7468561369460076,10,123,0,387.28896094695665,388.79133017593995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59446,2022-11-16_14h33.19.232,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94312095600669,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,1,3,15,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389.29170140996575,389.29170140996575,389.29170140996575,389.29170140996575,389.29170140996575,389.29170140996575,389.29170140996575,389.29170140996575,389.29170140996575,389.29170140996575,a,0.44177457387559116,1,124,0,389.7595591379795,391.25909763691016,391.25909763691016,391.7590401270427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59446,2022-11-16_14h33.19.232,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94312095600669,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,1,4,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,391.7590401270427,391.7590401270427,391.7590401270427,391.7590401270427,391.7590401270427,391.7590401270427,391.7590401270427,391.7590401270427,391.7590401270427,391.7590401270427,a,0.8435099418275058,1,125,0,392.62583139096387,394.1285875889007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59446,2022-11-16_14h33.19.232,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94312095600669,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,1,5,17,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,394.62874541198835,394.62874541198835,394.62874541198835,394.62874541198835,394.62874541198835,394.62874541198835,394.62874541198835,394.62874541198835,394.62874541198835,394.62874541198835,a,0.9094302630983293,10,135,0,395.5631228990387,397.0628640030045,397.0628640030045,397.5632280809805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59446,2022-11-16_14h33.19.232,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94312095600669,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,1,6,18,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397.5632280809805,397.5632280809805,397.5632280809805,397.5632280809805,397.5632280809805,397.5632280809805,397.5632280809805,397.5632280809805,397.5632280809805,397.5632280809805,l,0.49519833899103105,10,145,0,398.0798825349193,399.5822919958737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59446,2022-11-16_14h33.19.232,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.94312095600669,
