LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,fix.started,training_feedback_txt.stopped,fix.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,top_target_prac1.stopped,bott_target_prac1.stopped,target_resp_prac1.stopped,acc,E1,target_resp_prac1.keys,pracBlock,prac_fback_text.started,target_resp_prac1.rt,prac_fback_text.stopped,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,star.started,hegagon.started,triangle.started,circle.started,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,vts_fback.started,vts_fback.stopped,blockNum,norew_fback.started,norew_fback.stopped,key_resp_2.keys,key_resp_2.rt,rewExpectancy,feedbk_text.started,feedbk_text.stopped,text_3.started,text_3.stopped,button.started,debrief.index,debrief.itemText,debrief.type,debrief.granularity,debrief.font,debrief.markerColor,debrief.response,debrief.rt,button.numClicks,button.timesOn,button.timesOff,participant,date,expName,psychopyVersion,frameRate,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,0,9,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,509.48127227905206,509.48127227905206,509.48127227905206,509.48127227905206,509.48127227905206,509.48127227905206,509.48127227905206,509.48127227905206,509.48127227905206,509.48127227905206,a,1.1258189600193873,10,73,0,510.631962172105,512.132521498017,512.132521498017,512.632513353019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55611,2022-11-02_14h33.37.150,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.924121894600574,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,0,10,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512.632513353019,512.632513353019,512.632513353019,512.632513353019,512.632513353019,512.632513353019,512.632513353019,512.632513353019,512.632513353019,512.632513353019,a,1.8384119749534875,10,83,0,514.5018483670428,516.0024448290933,516.0024448290933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55611,2022-11-02_14h33.37.150,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.924121894600574,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,0,11,11,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,516.5024589110399,516.5024589110399,516.5024589110399,516.5024589110399,516.5024589110399,516.5024589110399,516.5024589110399,516.5024589110399,516.5024589110399,516.5024589110399,a,1.2889157879399136,10,93,0,517.8194252391113,519.3222319940105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55611,2022-11-02_14h33.37.150,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.924121894600574,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,1,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,519.8222423520638,519.8222423520638,519.8222423520638,519.8222423520638,519.8222423520638,519.8222423520638,519.8222423520638,519.8222423520638,519.8222423520638,519.8222423520638,l,0.9454203640343621,10,103,0,520.7891790351132,522.2898178750183,522.2898178750183,522.7899700640701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55611,2022-11-02_14h33.37.150,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.924121894600574,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,1,1,13,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,522.7899700640701,522.7899700640701,522.7899700640701,522.7899700640701,522.7899700640701,522.7899700640701,522.7899700640701,522.7899700640701,522.7899700640701,522.7899700640701,l,1.2332739050034434,1,104,0,524.044209123007,525.5595295960084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55611,2022-11-02_14h33.37.150,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.924121894600574,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,1,2,14,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,526.0598275490338,526.0598275490338,526.0598275490338,526.0598275490338,526.0598275490338,526.0598275490338,526.0598275490338,526.0598275490338,526.0598275490338,526.0598275490338,l,1.0270043809432536,10,114,0,527.1112550980179,528.6104568890296,528.6104568890296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55611,2022-11-02_14h33.37.150,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.924121894600574,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,1,3,15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,529.1126643890748,529.1126643890748,529.1126643890748,529.1126643890748,529.1126643890748,529.1126643890748,529.1126643890748,529.1126643890748,529.1126643890748,529.1126643890748,l,0.8785333730047569,10,124,0,530.0129670050228,531.5133512601024,531.5133512601024,532.0135523660574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55611,2022-11-02_14h33.37.150,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.924121894600574,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,1,4,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,532.0135523660574,532.0135523660574,532.0135523660574,532.0135523660574,532.0135523660574,532.0135523660574,532.0135523660574,532.0135523660574,532.0135523660574,532.0135523660574,l,4.241880051908083,10,134,0,536.2838601100957,537.7842301590135,537.7842301590135,538.2843594000442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55611,2022-11-02_14h33.37.150,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.924121894600574,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,1,5,17,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,538.2843594000442,538.2843594000442,538.2843594000442,538.2843594000442,538.2843594000442,538.2843594000442,538.2843594000442,538.2843594000442,538.2843594000442,538.2843594000442,a,1.0111857189331204,10,144,0,539.3199775220128,540.8204093860695,540.8204093860695,541.3206845720997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55611,2022-11-02_14h33.37.150,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.924121894600574,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,1,6,18,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,541.3206845720997,541.3206845720997,541.3206845720997,541.3206845720997,541.3206845720997,541.3206845720997,541.3206845720997,541.3206845720997,541.3206845720997,541.3206845720997,a,0.934911509975791,10,154,0,542.2876150161028,543.7882895600051,543.7882895600051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55611,2022-11-02_14h33.37.150,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.924121894600574,
