LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,training_feedback_txt.stopped,fix.started,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,prac_fback_text.started,prac_fback_text.stopped,fix.stopped,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,star.started,hegagon.started,triangle.started,circle.started,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,top_target.stopped,tgt_fix.stopped,bot_target.stopped,target_resp.stopped,alt,task,condition,target_resp.keys,rewCond,vts_fback.started,target_resp.rt,vts_fback.stopped,blockNum,norew_fback.started,norew_fback.stopped,key_resp_2.keys,key_resp_2.rt,rewExpectancy,feedbk_text.started,feedbk_text.stopped,text_3.started,text_3.stopped,button.started,debrief.index,debrief.itemText,debrief.type,debrief.granularity,debrief.font,debrief.markerColor,debrief.response,debrief.rt,button.numClicks,button.timesOn,button.timesOff,participant,date,expName,psychopyVersion,frameRate,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,0,9,9,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.86038750398438,113.86038750398438,113.86038750398438,113.86038750398438,113.86038750398438,113.86038750398438,113.86038750398438,113.86038750398438,113.86038750398438,113.86038750398438,l,0.3427541200071573,1,46,0,114.22748555499129,,115.72918044499238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35177,2022-10-27_13h55.24.854,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.04948738307094,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,0,10,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.2297806449933,116.2297806449933,116.2297806449933,116.2297806449933,116.2297806449933,116.2297806449933,116.2297806449933,116.2297806449933,116.2297806449933,116.2297806449933,l,0.5976706840156112,10,56,0,116.846814583987,,118.34873099200195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35177,2022-10-27_13h55.24.854,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.04948738307094,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,0,11,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.84931973199127,118.84931973199127,118.84931973199127,118.84931973199127,118.84931973199127,118.84931973199127,118.84931973199127,118.84931973199127,118.84931973199127,118.84931973199127,l,0.3208679709932767,1,57,0,119.1997088319913,,120.70137683898793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35177,2022-10-27_13h55.24.854,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.04948738307094,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,1,0,12,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.20169604700641,121.20169604700641,121.20169604700641,121.20169604700641,121.20169604700641,121.20169604700641,121.20169604700641,121.20169604700641,121.20169604700641,121.20169604700641,a,0.3527888980170246,1,58,0,121.58553118898999,,123.08740066899918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35177,2022-10-27_13h55.24.854,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.04948738307094,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,1,1,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.58798347198172,123.58798347198172,123.58798347198172,123.58798347198172,123.58798347198172,123.58798347198172,123.58798347198172,123.58798347198172,123.58798347198172,123.58798347198172,a,0.74263374201837,10,68,0,124.35540755998227,,125.85691032200702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35177,2022-10-27_13h55.24.854,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.04948738307094,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,1,2,14,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.35737334899022,126.35737334899022,126.35737334899022,126.35737334899022,126.35737334899022,126.35737334899022,126.35737334899022,126.35737334899022,126.35737334899022,126.35737334899022,a,1.709974355995655,10,78,0,128.092560849007,,129.59433224899112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35177,2022-10-27_13h55.24.854,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.04948738307094,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,1,3,15,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.0948085350101,130.0948085350101,130.0948085350101,130.0948085350101,130.0948085350101,130.0948085350101,130.0948085350101,130.0948085350101,130.0948085350101,130.0948085350101,l,1.0924788950069342,10,88,0,131.2127313769888,,132.71456234698417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35177,2022-10-27_13h55.24.854,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.04948738307094,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,1,4,16,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.21492152000428,133.21492152000428,133.21492152000428,133.21492152000428,133.21492152000428,133.21492152000428,133.21492152000428,133.21492152000428,133.21492152000428,133.21492152000428,l,0.5711792799993418,10,98,0,133.8155923569866,,135.3172052569862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35177,2022-10-27_13h55.24.854,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.04948738307094,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,1,5,17,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.81796088899137,135.81796088899137,135.81796088899137,135.81796088899137,135.81796088899137,135.81796088899137,135.81796088899137,135.81796088899137,135.81796088899137,135.81796088899137,l,0.6807233360013925,10,108,0,136.51877604299807,,138.0202345069847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35177,2022-10-27_13h55.24.854,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.04948738307094,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,1,6,18,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.52088474400807,138.52088474400807,138.52088474400807,138.52088474400807,138.52088474400807,138.52088474400807,138.52088474400807,138.52088474400807,138.52088474400807,138.52088474400807,a,0.9063651140022557,1,109,0,139.45537756299018,,140.956922716985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35177,2022-10-27_13h55.24.854,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.04948738307094,
