LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,fix.started,training_feedback_txt.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,top_target_prac1.stopped,tgt_fix_prac1.stopped,bott_target_prac1.stopped,target_resp_prac1.stopped,acc,E1,target_resp_prac1.keys,pracBlock,prac_fback_text.started,prac_fback_text.stopped,fix.stopped,target_resp_prac1.rt,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,star.started,hegagon.started,triangle.started,circle.started,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,vts_fback.started,vts_fback.stopped,blockNum,norew_fback.started,norew_fback.stopped,key_resp_2.keys,key_resp_2.rt,rewExpectancy,feedbk_text.started,feedbk_text.stopped,text_3.started,debrief.started,text_3.stopped,button.started,debrief.index,debrief.itemText,debrief.type,debrief.granularity,debrief.font,debrief.markerColor,debrief.response,debrief.rt,button.numClicks,button.timesOn,button.timesOff,participant,date,expName,psychopyVersion,frameRate,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,0,9,9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2441.8227297060657,2441.8227297060657,2441.8227297060657,2441.8227297060657,2441.8227297060657,2441.8227297060657,2441.8227297060657,2441.8227297060657,2441.8227297060657,2441.8227297060657,l,1.1517007849179208,1,37,0,2442.9906513681635,2444.492452040082,2444.492452040082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45290,2022-11-15_10h19.57.434,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.09708564317028,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,0,10,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2444.9928303300403,2444.9928303300403,2444.9928303300403,2444.9928303300403,2444.9928303300403,2444.9928303300403,2444.9928303300403,2444.9928303300403,2444.9928303300403,2444.9928303300403,l,0.9750467108096927,1,38,0,2445.9941357111093,2447.4958006811794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45290,2022-11-15_10h19.57.434,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.09708564317028,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,0,11,11,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2447.996132702101,2447.996132702101,2447.996132702101,2447.996132702101,2447.996132702101,2447.996132702101,2447.996132702101,2447.996132702101,2447.996132702101,2447.996132702101,a,0.5819763778708875,1,39,0,2448.596834832104,2450.098618295975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45290,2022-11-15_10h19.57.434,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.09708564317028,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,1,0,12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2450.5991091670003,2450.5991091670003,2450.5991091670003,2450.5991091670003,2450.5991091670003,2450.5991091670003,2450.5991091670003,2450.5991091670003,2450.5991091670003,2450.5991091670003,l,0.7122038376983255,1,40,0,2451.3331823230255,2452.835117142182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45290,2022-11-15_10h19.57.434,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.09708564317028,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,1,1,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2453.335425791098,2453.335425791098,2453.335425791098,2453.335425791098,2453.335425791098,2453.335425791098,2453.335425791098,2453.335425791098,2453.335425791098,2453.335425791098,a,1.8905763749498874,1,41,0,2455.254074517172,2456.7557759571355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45290,2022-11-15_10h19.57.434,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.09708564317028,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,1,2,14,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2457.2565246000886,2457.2565246000886,2457.2565246000886,2457.2565246000886,2457.2565246000886,2457.2565246000886,2457.2565246000886,2457.2565246000886,2457.2565246000886,2457.2565246000886,l,1.3019224959425628,1,42,0,2458.5913130100816,2460.0929294719826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45290,2022-11-15_10h19.57.434,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.09708564317028,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,1,3,15,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2460.5934881200083,2460.5934881200083,2460.5934881200083,2460.5934881200083,2460.5934881200083,2460.5934881200083,2460.5934881200083,2460.5934881200083,2460.5934881200083,2460.5934881200083,l,1.2702967158984393,10,52,0,2461.894885847112,2463.3963933160994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45290,2022-11-15_10h19.57.434,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.09708564317028,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,1,4,16,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2463.8968354619574,2463.8968354619574,2463.8968354619574,2463.8968354619574,2463.8968354619574,2463.8968354619574,2463.8968354619574,2463.8968354619574,2463.8968354619574,2463.8968354619574,a,1.196509825764224,10,62,0,2465.1150229610503,2466.6167821499985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45290,2022-11-15_10h19.57.434,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.09708564317028,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,1,5,17,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2467.117264626082,2467.117264626082,2467.117264626082,2467.117264626082,2467.117264626082,2467.117264626082,2467.117264626082,2467.117264626082,2467.117264626082,2467.117264626082,l,1.8240037828218192,1,63,0,2468.9695446281694,2470.4711920751724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45290,2022-11-15_10h19.57.434,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.09708564317028,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,1,6,18,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2470.971524550114,2470.971524550114,2470.971524550114,2470.971524550114,2470.971524550114,2470.971524550114,2470.971524550114,2470.971524550114,2470.971524550114,2470.971524550114,l,1.4024620589334518,10,73,0,2472.4065892831422,2473.9082666181494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45290,2022-11-15_10h19.57.434,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.09708564317028,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,1,7,19,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2474.4085937510245,2474.4085937510245,2474.4085937510245,2474.4085937510245,2474.4085937510245,2474.4085937510245,2474.4085937510245,2474.4085937510245,2474.4085937510245,2474.4085937510245,l,1.237220199778676,1,74,0,2475.676870525116,2477.178468452068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45290,2022-11-15_10h19.57.434,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.09708564317028,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,1,8,20,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2477.6788773571607,2477.6788773571607,2477.6788773571607,2477.6788773571607,2477.6788773571607,2477.6788773571607,2477.6788773571607,2477.6788773571607,2477.6788773571607,2477.6788773571607,a,0.6449208077974617,1,75,0,2478.34623462311,2479.8481407279614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45290,2022-11-15_10h19.57.434,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.09708564317028,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,1,9,21,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2480.348421425093,2480.348421425093,2480.348421425093,2480.348421425093,2480.348421425093,2480.348421425093,2480.348421425093,2480.348421425093,2480.348421425093,2480.348421425093,l,0.699121740879491,10,85,0,2481.0659039011225,2482.5677909310907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45290,2022-11-15_10h19.57.434,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.09708564317028,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,1,10,22,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2483.0682138809934,2483.0682138809934,2483.0682138809934,2483.0682138809934,2483.0682138809934,2483.0682138809934,2483.0682138809934,2483.0682138809934,2483.0682138809934,2483.0682138809934,a,1.4437419888563454,1,86,0,2484.536616069963,2486.0381564709824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45290,2022-11-15_10h19.57.434,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.09708564317028,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,1,11,23,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2486.5387052169535,2486.5387052169535,2486.5387052169535,2486.5387052169535,2486.5387052169535,2486.5387052169535,2486.5387052169535,2486.5387052169535,2486.5387052169535,2486.5387052169535,l,1.1115628858096898,10,96,0,2487.6731906421483,2489.174880663166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45290,2022-11-15_10h19.57.434,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.09708564317028,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,2,0,24,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2489.6753586230334,2489.6753586230334,2489.6753586230334,2489.6753586230334,2489.6753586230334,2489.6753586230334,2489.6753586230334,2489.6753586230334,2489.6753586230334,2489.6753586230334,a,0.9915436808951199,10,106,0,2490.6930498699658,2492.194703110028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45290,2022-11-15_10h19.57.434,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.09708564317028,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,2,1,25,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2492.695325540146,2492.695325540146,2492.695325540146,2492.695325540146,2492.695325540146,2492.695325540146,2492.695325540146,2492.695325540146,2492.695325540146,2492.695325540146,l,1.2553802237380296,10,116,0,2493.980546188075,2495.4818883070257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45290,2022-11-15_10h19.57.434,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.09708564317028,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,2,2,26,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2495.982545075007,2495.982545075007,2495.982545075007,2495.982545075007,2495.982545075007,2495.982545075007,2495.982545075007,2495.982545075007,2495.982545075007,2495.982545075007,l,1.0523104609455913,10,126,0,2497.0670847981237,2498.5685627621133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45290,2022-11-15_10h19.57.434,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.09708564317028,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,2,3,27,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2499.0694159870036,2499.0694159870036,2499.0694159870036,2499.0694159870036,2499.0694159870036,2499.0694159870036,2499.0694159870036,2499.0694159870036,2499.0694159870036,2499.0694159870036,l,1.2274575387127697,1,127,0,2500.3207304421812,2501.8224003380165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45290,2022-11-15_10h19.57.434,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.09708564317028,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,2,4,28,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2502.3230092821177,2502.3230092821177,2502.3230092821177,2502.3230092821177,2502.3230092821177,2502.3230092821177,2502.3230092821177,2502.3230092821177,2502.3230092821177,2502.3230092821177,a,1.8097227760590613,10,137,0,2504.1581272881012,2505.6597957310732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45290,2022-11-15_10h19.57.434,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.09708564317028,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,2,5,29,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2506.1604689580854,2506.1604689580854,2506.1604689580854,2506.1604689580854,2506.1604689580854,2506.1604689580854,2506.1604689580854,2506.1604689580854,2506.1604689580854,2506.1604689580854,a,1.202459956984967,10,147,0,2507.3950542211533,2508.896634925157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45290,2022-11-15_10h19.57.434,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.09708564317028,
