LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,training_feedback_txt.stopped,fix.started,fix.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,top_target_prac1.stopped,tgt_fix_prac1.stopped,bott_target_prac1.stopped,target_resp_prac1.stopped,acc,E1,target_resp_prac1.keys,pracBlock,prac_fback_text.started,prac_fback_text.stopped,target_resp_prac1.rt,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,star.started,hegagon.started,triangle.started,circle.started,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,vts_fback.started,vts_fback.stopped,top_target.stopped,tgt_fix.stopped,bot_target.stopped,target_resp.stopped,blockNum,norew_fback.started,norew_fback.stopped,key_resp_2.keys,key_resp_2.rt,rewExpectancy,feedbk_text.started,feedbk_text.stopped,text_3.started,debrief.started,text_3.stopped,button.started,debrief.index,debrief.itemText,debrief.type,debrief.granularity,debrief.font,debrief.markerColor,debrief.response,debrief.rt,button.numClicks,button.timesOn,button.timesOff,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,21,0,21,0,,,,,,,,,,,,,,,,0,1072,,,,2820.7685919050127,,139,S,hexagon,0.001194953016238287,,,,,,,,,0,0,,,,,,,,,,,,2817.1144199020055,2817.1144199020055,2817.1144199020055,2817.1144199020055,2818.6161091260146,2818.6161091260146,2818.6161091260146,2818.6161091260146,2818.6161091260146,2818.6161091260146,2818.6161091260146,2818.6161091260146,repeat,letter,NA,j,0.6157153630047105,Lo,,,,,,,2,,,,,low,2819.2671290880244,,,,,,,,,,,,,,,,,37040,2022-11-22_10h17.54.641,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.063949969640696,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,22,0,22,0,,,,,,,,,,,,,,,,1,1073,,,,2825.456958780007,,174,Y,circle,0.0009090850071515888,,,,,,,,,1,1,,,,,,,,,,,,2821.7364198900177,2821.7364198900177,2821.7364198900177,2821.7364198900177,2823.237885143026,2823.237885143026,2823.237885143026,2823.237885143026,2823.237885143026,2823.237885143026,2823.237885143026,2823.237885143026,repeat,letter,lettRpt,k,0.6962933450122364,Lo,,,,,,,2,,,,,low,2823.972200787015,,,,,,,,,,,,,,,,,37040,2022-11-22_10h17.54.641,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.063949969640696,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,23,0,23,0,,,,,,,,,,,,,,,,0,1073,,,,2830.078839487018,,160,W,star,0.0010774790134746581,,,,,,,,,0,0,,,,,,,,,,,,2826.4415221080126,2826.4415221080126,2826.4415221080126,2826.4415221080126,2827.9432690800168,2827.9432690800168,2827.9432690800168,2827.9432690800168,2827.9432690800168,2827.9432690800168,2827.9432690800168,2827.9432690800168,switch,number,NA,d,0.5930671819951385,Lo,,,,,,,2,,,,,low,2828.5773503460223,,,,,,,,,,,,,,,,,37040,2022-11-22_10h17.54.641,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.063949969640696,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,24,0,24,0,,,,,,,,,,,,,,,,0,1073,,,,2834.6673495950236,,174,U,star,0.0011090069892816246,,,,,,,,,1,1,,,,,,,,,,,,2831.046595885011,2831.046595885011,2831.046595885011,2831.046595885011,2832.548287362006,2832.548287362006,2832.548287362006,2832.548287362006,2832.548287362006,2832.548287362006,2832.548287362006,2832.548287362006,repeat,number,numRpt,f,0.5899790559778921,Hi,,,,,,,2,,,,,low,2833.1823669279984,,,,,,,,,,,,,,,,,37040,2022-11-22_10h17.54.641,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.063949969640696,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,25,0,25,0,,,,,,,,,,,,,,,,1,1074,,,,2839.122098651016,,181,D,circle,0.001281073986319825,,,,,,,,,1,0,,,,,,,,,,,,2835.651641352015,2835.651641352015,2835.651641352015,2835.651641352015,2837.1532821319997,2837.1532821319997,2837.1532821319997,2837.1532821319997,2837.1532821319997,2837.1532821319997,2837.1532821319997,2837.1532821319997,repeat,number,numRpt,f,0.4404583370196633,Lo,,,,,,,2,,,,,low,2837.637256870017,,,,,,,,,,,,,,,,,37040,2022-11-22_10h17.54.641,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.063949969640696,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,26,0,26,0,,,,,,,,,,,,,,,,0,1074,,,,2843.7271770370135,2844.2276686480036,139,Y,hexagon,0.0013334780232980847,,,,,,,,,1,0,,,,,,,,,,,,2840.1066867450136,2840.1066867450136,2840.1066867450136,2840.1066867450136,2841.6081630020053,2841.6081630020053,2841.6081630020053,2841.6081630020053,2841.6081630020053,2841.6081630020053,2841.6081630020053,2841.6081630020053,repeat,number,numRpt,d,0.5854945830069482,Hi,,,,,,,2,,,,,low,2842.225523344998,2843.7271770370135,,,,,,,,,,,,,,,,37040,2022-11-22_10h17.54.641,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.063949969640696,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,27,0,27,0,,,,,,,,,,,,,,,,1,1075,,,,2848.3824675350043,,146,S,triangle,-0.00024253502488136292,,,,,,,,,1,0,,,,,,,,,,,,2844.728469185997,2844.728469185997,2844.728469185997,2844.728469185997,2846.2133473500144,2846.2133473500144,2846.2133473500144,2846.2133473500144,2846.230092267011,2846.230092267011,2846.230092267011,2846.230092267011,repeat,number,numRpt,d,0.6401011609996203,Lo,,,,,,,2,,,,,low,2846.8973790730233,,,,,,,,,,,,,,,,,37040,2022-11-22_10h17.54.641,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.063949969640696,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,28,0,28,0,,,,,,,,,,,,,,,,0,1075,,,,2852.9542617700063,,160,B,star,0.0012040589936077595,,,,,,,,,1,0,,,,,,,,,,,,2849.3668113900058,2849.3668113900058,2849.3668113900058,2849.3668113900058,2850.868683270004,2850.868683270004,2850.868683270004,2850.868683270004,2850.868683270004,2850.868683270004,2850.868683270004,2850.868683270004,repeat,number,numRpt,f,0.5627595870173536,Hi,,,,,,,2,,,,,low,2851.4692726380017,,,,,,,,,,,,,,,,,37040,2022-11-22_10h17.54.641,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.063949969640696,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,29,0,29,0,,,,,,,,,,,,,,,,1,1076,,,,2857.4757530680217,,167,W,triangle,0.0014053680060897022,,,,,,,,,1,0,,,,,,,,,,,,2853.938655450009,2853.938655450009,2853.938655450009,2853.938655450009,2855.4404507080035,2855.4404507080035,2855.4404507080035,2855.4404507080035,2855.4404507080035,2855.4404507080035,2855.4404507080035,2855.4404507080035,repeat,number,numRpt,f,0.5142434219887946,Lo,,,,,,,2,,,,,low,2855.9908302980184,,,,,,,,,,,,,,,,,37040,2022-11-22_10h17.54.641,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.063949969640696,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,30,0,30,0,,,,,,,,,,,,,,,,0,1076,,,,2862.2143587080063,,132,F,hexagon,0.0012380820116959512,,,,,,,,,1,0,,,,,,,,,,,,2858.460157162015,2858.460157162015,2858.460157162015,2858.460157162015,2859.9619035020005,2859.9619035020005,2859.9619035020005,2859.9619035020005,2859.9619035020005,2859.9619035020005,2859.9619035020005,2859.9619035020005,switch,letter,lettSwt,j,0.7292899449821562,Hi,,,,,,,2,,,,,low,2860.729405236023,,,,,,,,,,,,,,,,,37040,2022-11-22_10h17.54.641,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.063949969640696,
