LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,training_feedback_txt.stopped,fix.started,fix.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,top_target_prac1.stopped,bott_target_prac1.stopped,target_resp_prac1.stopped,acc,E1,target_resp_prac1.keys,pracBlock,prac_fback_text.started,target_resp_prac1.rt,prac_fback_text.stopped,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,star.started,hegagon.started,triangle.started,circle.started,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,top_target.stopped,tgt_fix.stopped,bot_target.stopped,target_resp.stopped,alt,task,condition,target_resp.keys,rewCond,vts_fback.started,target_resp.rt,vts_fback.stopped,blockNum,norew_fback.started,norew_fback.stopped,key_resp_2.keys,key_resp_2.rt,rewExpectancy,feedbk_text.started,feedbk_text.stopped,text_3.started,debrief.started,text_3.stopped,button.started,debrief.index,debrief.itemText,debrief.type,debrief.granularity,debrief.font,debrief.markerColor,debrief.response,debrief.rt,button.numClicks,button.timesOn,button.timesOff,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,724.0067442369182,space,6.186322286957875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34086,2022-11-21_10h34.32.553,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.67327898778588,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,763.0909435229842,763.0909435229842,763.0909435229842,763.0909435229842,763.0909435229842,763.0909435229842,763.0909435229842,763.0909435229842,763.0909435229842,763.0909435229842,a,1.6855230759829283,1,1,0,764.7990169709083,766.2978950010147,766.2978950010147,766.797769082943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34086,2022-11-21_10h34.32.553,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.67327898778588,
0,1,0,0,0,0,0,1,circle,star,0,0,0,0,0,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,766.797769082943,766.797769082943,766.797769082943,766.797769082943,766.797769082943,766.797769082943,766.797769082943,766.797769082943,766.797769082943,766.797769082943,l,1.2189938249066472,10,11,0,768.0366199170239,,769.5513863970991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34086,2022-11-21_10h34.32.553,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.67327898778588,
0,0,1,0,1,0,0,0,hexagon,triangle,0,0,0,0,0,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,770.0516829430126,770.0516829430126,770.0516829430126,770.0516829430126,770.0516829430126,770.0516829430126,770.0516829430126,770.0516829430126,770.0516829430126,770.0516829430126,a,1.2289087488316,1,12,0,771.3019926040433,,772.8036778948735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34086,2022-11-21_10h34.32.553,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.67327898778588,
0,0,0,1,1,0,0,0,star,triangle,0,0,0,0,0,3,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,773.3038756130263,773.3038756130263,773.3038756130263,773.3038756130263,773.3038756130263,773.3038756130263,773.3038756130263,773.3038756130263,773.3038756130263,773.3038756130263,l,0.8445085468702018,1,13,0,774.1708389779087,775.670991916908,775.670991916908,776.1712896090467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34086,2022-11-21_10h34.32.553,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.67327898778588,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,0,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,776.1712896090467,776.1712896090467,776.1712896090467,776.1712896090467,776.1712896090467,776.1712896090467,776.1712896090467,776.1712896090467,776.1712896090467,776.1712896090467,a,1.2070576837286353,10,23,0,777.4064189579803,,778.9078911400866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34086,2022-11-21_10h34.32.553,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.67327898778588,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,0,5,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,779.4081468139775,779.4081468139775,779.4081468139775,779.4081468139775,779.4081468139775,779.4081468139775,779.4081468139775,779.4081468139775,779.4081468139775,779.4081468139775,l,0.5907669248990715,1,24,0,780.0252250190824,781.5255624270067,781.5255624270067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34086,2022-11-21_10h34.32.553,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.67327898778588,
0,0,0,1,0,1,0,0,star ,circle,0,0,0,0,0,6,6,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,782.0257283090614,782.0257283090614,782.0257283090614,782.0257283090614,782.0257283090614,782.0257283090614,782.0257283090614,782.0257283090614,782.0257283090614,782.0257283090614,a,0.6507316557690501,1,25,0,782.6967501530889,,784.2114788379986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34086,2022-11-21_10h34.32.553,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.67327898778588,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,0,7,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,784.7115691979416,784.7115691979416,784.7115691979416,784.7115691979416,784.7115691979416,784.7115691979416,784.7115691979416,784.7115691979416,784.7115691979416,784.7115691979416,l,0.4176319041289389,1,26,0,785.1619807910174,786.6624028889928,786.6624028889928,787.1626342709642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34086,2022-11-21_10h34.32.553,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.67327898778588,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,0,8,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,787.1626342709642,787.1626342709642,787.1626342709642,787.1626342709642,787.1626342709642,787.1626342709642,787.1626342709642,787.1626342709642,787.1626342709642,787.1626342709642,a,0.7901625458616763,1,27,0,787.9812240230385,789.4818245240021,789.4818245240021,789.982275377959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34086,2022-11-21_10h34.32.553,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.67327898778588,
