LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,fix.started,training_feedback_txt.stopped,fix.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,prac_fback_text.started,prac_fback_text.stopped,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,star.started,hegagon.started,triangle.started,circle.started,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,vts_fback.started,vts_fback.stopped,blockNum,norew_fback.started,norew_fback.stopped,top_target.stopped,tgt_fix.stopped,bot_target.stopped,target_resp.stopped,key_resp_2.keys,key_resp_2.rt,rewExpectancy,feedbk_text.started,feedbk_text.stopped,text_3.started,debrief.started,text_3.stopped,button.started,debrief.index,debrief.itemText,debrief.type,debrief.granularity,debrief.font,debrief.markerColor,debrief.response,debrief.rt,button.numClicks,button.timesOn,button.timesOff,participant,date,expName,psychopyVersion,frameRate,
0,0,0,1,0,0,1,0,star,hexagon,2,0,2,0,0,9,9,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,477.30041339294985,477.30041339294985,477.30041339294985,477.30041339294985,477.30041339294985,477.30041339294985,477.30041339294985,477.30041339294985,477.30041339294985,477.30041339294985,a,1.5630953370127827,10,700,2,478.8844359978102,480.3867333759554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44527,2022-11-14_14h08.43.665,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.93466954056642,
1,0,0,0,0,1,0,0,triangle,circle,2,0,2,0,0,10,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480.88719735783525,480.88719735783525,480.88719735783525,480.88719735783525,480.88719735783525,480.88719735783525,480.88719735783525,480.88719735783525,480.88719735783525,480.88719735783525,l,0.9803580311127007,10,710,2,481.8875166408252,483.3878657249734,483.3878657249734,483.8881523560267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44527,2022-11-14_14h08.43.665,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.93466954056642,
0,0,1,0,0,1,0,0,hexagon,circle,2,0,2,0,0,11,11,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,483.8881523560267,483.8881523560267,483.8881523560267,483.8881523560267,483.8881523560267,483.8881523560267,483.8881523560267,483.8881523560267,483.8881523560267,483.8881523560267,l,1.3663692469708622,10,720,2,485.2736310060136,486.77422423497774,486.77422423497774,487.2742729349993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44527,2022-11-14_14h08.43.665,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.93466954056642,
0,1,0,0,0,0,0,1,circle,star,2,0,2,0,1,0,12,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,487.2742729349993,487.2742729349993,487.2742729349993,487.2742729349993,487.2742729349993,487.2742729349993,487.2742729349993,487.2742729349993,487.2742729349993,487.2742729349993,a,1.8055236081127077,1,721,2,489.11031569284387,490.6105215868447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44527,2022-11-14_14h08.43.665,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.93466954056642,
0,1,0,0,1,0,0,0,circle,triangle,2,0,2,0,1,1,13,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,491.11078026588075,491.11078026588075,491.11078026588075,491.11078026588075,491.11078026588075,491.11078026588075,491.11078026588075,491.11078026588075,491.11078026588075,491.11078026588075,a,0.5783263901248574,10,731,2,491.71306605497375,493.2281371150166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44527,2022-11-14_14h08.43.665,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.93466954056642,
0,0,1,0,0,0,0,1,hexagon,star,2,0,2,0,1,2,14,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,493.72840741393156,493.72840741393156,493.72840741393156,493.72840741393156,493.72840741393156,493.72840741393156,493.72840741393156,493.72840741393156,493.72840741393156,493.72840741393156,l,1.3585888929665089,10,741,2,495.1140494570136,496.6146860779263,496.6146860779263,497.11496372288093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44527,2022-11-14_14h08.43.665,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.93466954056642,
1,0,0,0,0,0,0,1,triangle,star,2,0,2,0,1,3,15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,497.11496372288093,497.11496372288093,497.11496372288093,497.11496372288093,497.11496372288093,497.11496372288093,497.11496372288093,497.11496372288093,497.11496372288093,497.11496372288093,l,4.0359208271838725,10,751,2,501.16854981496,502.66847918299027,502.66847918299027,503.1688849958591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44527,2022-11-14_14h08.43.665,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.93466954056642,
0,0,1,0,1,0,0,0,hexagon,triangle,2,0,2,0,1,4,16,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,503.1688849958591,503.1688849958591,503.1688849958591,503.1688849958591,503.1688849958591,503.1688849958591,503.1688849958591,503.1688849958591,503.1688849958591,503.1688849958591,a,11.157107179053128,1,752,2,514.3468438228592,515.8625775529072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44527,2022-11-14_14h08.43.665,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.93466954056642,
0,0,0,1,1,0,0,0,star,triangle,2,0,2,0,1,5,17,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,516.3627143849153,516.3627143849153,516.3627143849153,516.3627143849153,516.3627143849153,516.3627143849153,516.3627143849153,516.3627143849153,516.3627143849153,516.3627143849153,a,1.112918662140146,10,762,2,517.4980766698718,519.0138807250187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44527,2022-11-14_14h08.43.665,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.93466954056642,
0,0,0,1,0,0,1,0,star,hexagon,2,0,2,0,1,6,18,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,519.4987798219081,519.4987798219081,519.4987798219081,519.4987798219081,519.4987798219081,519.4987798219081,519.4987798219081,519.4987798219081,519.4987798219081,519.4987798219081,a,1.0704342930112034,1,763,2,520.6011954748537,522.1166905199643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44527,2022-11-14_14h08.43.665,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.93466954056642,
0,0,0,1,0,1,0,0,star ,circle,2,0,2,0,1,7,19,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,522.6168390780222,522.6168390780222,522.6168390780222,522.6168390780222,522.6168390780222,522.6168390780222,522.6168390780222,522.6168390780222,522.6168390780222,522.6168390780222,l,1.361643805168569,10,773,2,524.0021714989562,525.5027814968489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44527,2022-11-14_14h08.43.665,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.93466954056642,
1,0,0,0,0,1,0,0,triangle,circle,2,0,2,0,1,8,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,526.0030801258981,526.0030801258981,526.0030801258981,526.0030801258981,526.0030801258981,526.0030801258981,526.0030801258981,526.0030801258981,526.0030801258981,526.0030801258981,l,0.855334057006985,10,783,2,526.8864454778377,528.3870759389829,528.3870759389829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44527,2022-11-14_14h08.43.665,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.93466954056642,
0,0,1,0,0,1,0,0,hexagon,circle,2,0,2,0,1,9,21,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,528.8874518859666,528.8874518859666,528.8874518859666,528.8874518859666,528.8874518859666,528.8874518859666,528.8874518859666,528.8874518859666,528.8874518859666,528.8874518859666,l,0.5813034868333489,10,793,2,529.4893674589694,530.9899387708865,530.9899387708865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44527,2022-11-14_14h08.43.665,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.93466954056642,
0,1,0,0,0,0,1,0,circle,hexagon,2,0,2,0,1,10,22,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,531.4902571199927,531.4902571199927,531.4902571199927,531.4902571199927,531.4902571199927,531.4902571199927,531.4902571199927,531.4902571199927,531.4902571199927,531.4902571199927,a,0.5885715240146965,10,803,2,532.1071729809046,533.6076385029592,533.6076385029592,534.1075455269311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44527,2022-11-14_14h08.43.665,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.93466954056642,
1,0,0,0,0,0,1,0,triangle,hexagon,2,0,2,0,1,11,23,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,534.1075455269311,534.1075455269311,534.1075455269311,534.1075455269311,534.1075455269311,534.1075455269311,534.1075455269311,534.1075455269311,534.1075455269311,534.1075455269311,l,1.3462432350497693,1,804,2,535.4789817258716,536.9939471469261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44527,2022-11-14_14h08.43.665,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.93466954056642,
0,1,0,0,1,0,0,0,circle,triangle,2,0,2,0,2,0,24,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,537.4941435928922,537.4941435928922,537.4941435928922,537.4941435928922,537.4941435928922,537.4941435928922,537.4941435928922,537.4941435928922,537.4941435928922,537.4941435928922,a,0.5595761160366237,10,814,2,538.0800894908607,539.5802090228535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44527,2022-11-14_14h08.43.665,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.93466954056642,
1,0,0,0,0,1,0,0,triangle,circle,2,0,2,0,2,1,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,540.0805003638379,540.0805003638379,540.0805003638379,540.0805003638379,540.0805003638379,540.0805003638379,540.0805003638379,540.0805003638379,540.0805003638379,540.0805003638379,l,1.314537222031504,10,824,2,541.4140251919162,542.9145812238567,542.9145812238567,543.4145602809731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44527,2022-11-14_14h08.43.665,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.93466954056642,
0,0,0,1,0,1,0,0,star ,circle,2,0,2,0,2,2,26,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,543.4145602809731,543.4145602809731,543.4145602809731,543.4145602809731,543.4145602809731,543.4145602809731,543.4145602809731,543.4145602809731,543.4145602809731,543.4145602809731,l,0.5785536600742489,1,825,2,544.0170435388573,545.5175425449852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44527,2022-11-14_14h08.43.665,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.93466954056642,
0,0,1,0,0,1,0,0,hexagon,circle,2,0,2,0,2,3,27,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,546.0174318689387,546.0174318689387,546.0174318689387,546.0174318689387,546.0174318689387,546.0174318689387,546.0174318689387,546.0174318689387,546.0174318689387,546.0174318689387,l,0.8568605580367148,10,835,2,546.9033058770001,548.4183339138981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44527,2022-11-14_14h08.43.665,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.93466954056642,
0,0,1,0,0,0,0,1,hexagon,star,2,0,2,0,2,4,28,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,548.918500023894,548.918500023894,548.918500023894,548.918500023894,548.918500023894,548.918500023894,548.918500023894,548.918500023894,548.918500023894,548.918500023894,l,1.8924123630858958,10,845,2,550.8378405969124,552.3382948329672,552.3382948329672,552.8383568148129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44527,2022-11-14_14h08.43.665,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.93466954056642,
0,0,1,0,1,0,0,0,hexagon,triangle,2,0,2,0,2,5,29,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,552.8383568148129,552.8383568148129,552.8383568148129,552.8383568148129,552.8383568148129,552.8383568148129,552.8383568148129,552.8383568148129,552.8383568148129,552.8383568148129,a,1.5281288281548768,10,855,2,554.3917503729463,555.8918005828746,555.8918005828746,556.3921587448567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44527,2022-11-14_14h08.43.665,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.93466954056642,
1,0,0,0,0,0,1,0,triangle,hexagon,2,0,2,0,2,6,30,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,556.3921587448567,556.3921587448567,556.3921587448567,556.3921587448567,556.3921587448567,556.3921587448567,556.3921587448567,556.3921587448567,556.3921587448567,556.3921587448567,l,1.2140484610572457,1,856,2,557.6268368898891,559.1258601029404,559.1258601029404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44527,2022-11-14_14h08.43.665,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.93466954056642,
0,0,0,1,1,0,0,0,star,triangle,2,0,2,0,2,7,31,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,559.6279720538296,559.6279720538296,559.6279720538296,559.6279720538296,559.6279720538296,559.6279720538296,559.6279720538296,559.6279720538296,559.6279720538296,559.6279720538296,a,1.8482963689602911,1,857,2,561.4956205040216,562.9960851538926,562.9960851538926,563.4960692308377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44527,2022-11-14_14h08.43.665,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.93466954056642,
