LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,fix.started,training_feedback_txt.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,prac_fback_text.started,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,star.started,hegagon.started,triangle.started,circle.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,vts_fback.started,blockNum,norew_fback.started,norew_fback.stopped,key_resp_2.keys,key_resp_2.rt,rewExpectancy,feedbk_text.started,feedbk_text.stopped,fix.stopped,text_3.started,text_3.stopped,button.started,debrief.index,debrief.itemText,debrief.type,debrief.granularity,debrief.font,debrief.markerColor,debrief.response,debrief.rt,button.numClicks,button.timesOn,button.timesOff,participant,date,expName,psychopyVersion,frameRate,
0,0,1,0,0,0,0,1,hexagon,star,0,0,0,0,0,9,9,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.22530844200082,100.22530844200082,100.22530844200082,100.22530844200082,100.22530844200082,100.22530844200082,100.22530844200082,100.22530844200082,100.22530844200082,100.22530844200082,l,0.6376982829970075,10,64,0,100.89272977299697,102.39438334699662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31275,2022-10-26_10h25.26.703,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.848491866648565,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,0,10,10,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.89477443700162,102.89477443700162,102.89477443700162,102.89477443700162,102.89477443700162,102.89477443700162,102.89477443700162,102.89477443700162,102.89477443700162,102.89477443700162,a,1.3195112559915287,1,65,0,104.24631558999681,105.74800365600095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31275,2022-10-26_10h25.26.703,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.848491866648565,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.24851417599712,106.24851417599712,106.24851417599712,106.24851417599712,106.24851417599712,106.24851417599712,106.24851417599712,106.24851417599712,106.24851417599712,106.24851417599712,a,0.7579530989969498,10,75,0,107.03266613699816,108.53458052300266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31275,2022-10-26_10h25.26.703,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.848491866648565,
1,0,0,0,0,0,0,1,triangle,star,0,0,0,0,1,0,12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.03506560299866,109.03506560299866,109.03506560299866,109.03506560299866,109.03506560299866,109.03506560299866,109.03506560299866,109.03506560299866,109.03506560299866,109.03506560299866,l,0.5963984109985176,10,85,0,109.65237167799933,111.15396874099679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31275,2022-10-26_10h25.26.703,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.848491866648565,
1,0,0,0,0,1,0,0,triangle,circle,0,0,0,0,1,1,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.65463809700304,111.65463809700304,111.65463809700304,111.65463809700304,111.65463809700304,111.65463809700304,111.65463809700304,111.65463809700304,111.65463809700304,111.65463809700304,l,1.6333068419990013,10,95,0,113.30623803399794,114.8080773929978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31275,2022-10-26_10h25.26.703,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.848491866648565,
0,0,0,1,0,0,1,0,star,hexagon,0,0,0,0,1,2,14,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.3086373719998,115.3086373719998,115.3086373719998,115.3086373719998,115.3086373719998,115.3086373719998,115.3086373719998,115.3086373719998,115.3086373719998,115.3086373719998,a,0.9385950049982057,1,96,0,116.2762447999994,117.77817244100152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31275,2022-10-26_10h25.26.703,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.848491866648565,
0,1,0,0,1,0,0,0,circle,triangle,0,0,0,0,1,3,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.27862750300119,118.27862750300119,118.27862750300119,118.27862750300119,118.27862750300119,118.27862750300119,118.27862750300119,118.27862750300119,118.27862750300119,118.27862750300119,l,0.9043275129952235,1,97,0,119.21293446199707,120.71442792600283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31275,2022-10-26_10h25.26.703,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.848491866648565,
0,0,1,0,0,1,0,0,hexagon,circle,0,0,0,0,1,4,16,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.2150505890022,121.2150505890022,121.2150505890022,121.2150505890022,121.2150505890022,121.2150505890022,121.2150505890022,121.2150505890022,121.2150505890022,121.2150505890022,a,1.9843097799966927,10,107,0,123.21717439300119,124.7189079039963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31275,2022-10-26_10h25.26.703,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.848491866648565,
0,1,0,0,0,0,1,0,circle,hexagon,0,0,0,0,1,5,17,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.21965430399723,125.21965430399723,125.21965430399723,125.21965430399723,125.21965430399723,125.21965430399723,125.21965430399723,125.21965430399723,125.21965430399723,125.21965430399723,a,1.1395961090020137,10,117,0,126.38764464700216,127.88916532300209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31275,2022-10-26_10h25.26.703,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.848491866648565,
1,0,0,0,0,0,1,0,triangle,hexagon,0,0,0,0,1,6,18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.38978235400282,128.38978235400282,128.38978235400282,128.38978235400282,128.38978235400282,128.38978235400282,128.38978235400282,128.38978235400282,128.38978235400282,128.38978235400282,l,1.5296555729946704,1,118,0,129.94129640299798,131.4430263289978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31275,2022-10-26_10h25.26.703,vts_reward_expectancy_bt_OFFLINE,2022.2.4,59.848491866648565,
