LTriangleOpac,LCircleOpac,LHexagonOpac,LStarOpac,RTriangleOpac,RCircleOpac,RHexagonOpac,RStarOpac,LShape_ID,RShape_ID,training_blocks.thisRepN,training_blocks.thisTrialN,training_blocks.thisN,training_blocks.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,task1_prac_redo.thisRepN,task1_prac_redo.thisTrialN,task1_prac_redo.thisN,task1_prac_redo.thisIndex,task1_prac_trials.thisRepN,task1_prac_trials.thisTrialN,task1_prac_trials.thisN,task1_prac_trials.thisIndex,task2_prac_redo.thisRepN,task2_prac_redo.thisTrialN,task2_prac_redo.thisN,task2_prac_redo.thisIndex,task2_praac_trials.thisRepN,task2_praac_trials.thisTrialN,task2_praac_trials.thisN,task2_praac_trials.thisIndex,vts_prac_redo.thisRepN,vts_prac_redo.thisTrialN,vts_prac_redo.thisN,vts_prac_redo.thisIndex,vts_practice_trials.thisRepN,vts_practice_trials.thisTrialN,vts_practice_trials.thisN,vts_practice_trials.thisIndex,trials_norew.thisRepN,trials_norew.thisTrialN,trials_norew.thisN,trials_norew.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_rew.thisRepN,trials_rew.thisTrialN,trials_rew.thisN,trials_rew.thisIndex,key_resp.started,key_resp.keys,key_resp.rt,left_circle.started,right_circle.started,left_triangle.started,right_triangle.started,left_star.started,right_star.started,left_hexagon.started,right_hexagon.started,training_fix.started,training_resp.started,training_resp.keys,training_resp.rt,points_trial,points_cumul,trainBlock,training_feedback_txt.started,fix.started,training_feedback_txt.stopped,curr_topStim,curr_bottStim,curr_shape,ISI.started,tgt_fix_prac1.started,top_target_prac1.started,bott_target_prac1.started,target_resp_prac1.started,acc,E1,target_resp_prac1.keys,target_resp_prac1.rt,pracBlock,prac_fback_text.started,prac_fback_text.stopped,tgt_fix_prac2.started,top_target_prac2.started,bott_target_prac2.started,target_resp_prac2.started,target_resp_prac2.keys,target_resp_prac2.rt,fix.stopped,star.started,hegagon.started,triangle.started,circle.started,star.stopped,hegagon.stopped,triangle.stopped,circle.stopped,top_target.started,tgt_fix.started,bot_target.started,target_resp.started,alt,task,condition,target_resp.keys,target_resp.rt,rewCond,vts_fback.started,vts_fback.stopped,blockNum,norew_fback.started,norew_fback.stopped,top_target.stopped,tgt_fix.stopped,bot_target.stopped,target_resp.stopped,key_resp_2.keys,key_resp_2.rt,rewExpectancy,feedbk_text.started,feedbk_text.stopped,text_3.started,debrief.started,text_3.stopped,button.started,debrief.index,debrief.itemText,debrief.type,debrief.granularity,debrief.font,debrief.markerColor,debrief.response,debrief.rt,button.numClicks,button.timesOn,button.timesOff,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,6,0,16,0,16,0,,,,,,,,,,,,,,,,10,1368,,,4339.022588497959,,D,139,hexagon,0.0011454559862613678,,,,,1,0,,,,,,,,,,,,,4335.4188141780905,4335.4188141780905,4335.4188141780905,4335.4188141780905,4336.920273422031,4336.920273422031,4336.920273422031,4336.920273422031,4336.920273422031,4336.920273422031,4336.920273422031,4336.920273422031,repeat,letter,lettRpt,d,0.5824874718673527,Lo,,,6,,,,,,,,,low,4337.537806296954,,,,,,,,,,,,,,,,,13678,2022-12-02_14h59.49.142,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.329188053994905,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,6,0,17,0,17,0,,,,,,,,,,,,,,,,10,1378,,,4343.460729918908,,W,132,triangle,0.0012267609126865864,,,,,1,0,,,,,,,,,,,,,4340.007114931941,4340.007114931941,4340.007114931941,4340.007114931941,4341.508656169986,4341.508656169986,4341.508656169986,4341.508656169986,4341.508656169986,4341.508656169986,4341.508656169986,4341.508656169986,repeat,letter,lettRpt,f,0.4033803977072239,Hi,,,6,,,,,,,,,low,4341.959159842925,4343.460729918908,,,,,,,,,,,,,,,,13678,2022-12-02_14h59.49.142,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.329188053994905,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,6,0,18,0,18,0,,,,,,,,,,,,,,,,0,1378,,,4347.8825258389115,,U,146,circle,0.0007414119318127632,,,,,0,0,,,,,,,,,,,,,4344.445486909011,4344.445486909011,4344.445486909011,4344.445486909011,4345.946950812126,4345.946950812126,4345.946950812126,4345.946950812126,4345.946950812126,4345.946950812126,4345.946950812126,4345.946950812126,repeat,letter,NA,d,0.3981692448724061,Hi,,,6,,,,,,,,,low,4346.380954456981,,,,,,,,,,,,,,,,,13678,2022-12-02_14h59.49.142,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.329188053994905,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,6,0,19,0,19,0,,,,,,,,,,,,,,,,0,1378,,,4352.487333433935,,F,125,star,0.0009658208582550287,,,,,1,1,,,,,,,,,,,,,4348.85011617397,4348.85011617397,4348.85011617397,4348.85011617397,4350.351840370102,4350.351840370102,4350.351840370102,4350.351840370102,4350.351840370102,4350.351840370102,4350.351840370102,4350.351840370102,switch,number,numSwt,j,0.5938595877960324,Hi,,,6,,,,,,,,,low,4350.9858903270215,,,,,,,,,,,,,,,,,13678,2022-12-02_14h59.49.142,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.329188053994905,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,6,0,20,0,20,0,,,,,,,,,,,,,,,,1,1379,,,4356.908961619949,,Y,181,hexagon,0.001273859990760684,,,,,1,0,,,,,,,,,,,,,4353.45531761297,4353.45531761297,4353.45531761297,4353.45531761297,4354.956810672069,4354.956810672069,4354.956810672069,4354.956810672069,4354.956810672069,4354.956810672069,4354.956810672069,4354.956810672069,repeat,number,numRpt,k,0.424012498697266,Lo,,,6,,,,,,,,,low,4355.424474349013,,,,,,,,,,,,,,,,,13678,2022-12-02_14h59.49.142,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.329188053994905,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,6,0,21,0,21,0,,,,,,,,,,,,,,,,0,1379,,,4361.530966534978,,S,160,star,0.001134040066972375,,,,,1,0,,,,,,,,,,,,,4357.893703470007,4357.893703470007,4357.893703470007,4357.893703470007,4359.395241094055,4359.395241094055,4359.395241094055,4359.395241094055,4359.395241094055,4359.395241094055,4359.395241094055,4359.395241094055,repeat,number,numRpt,k,0.6077781498897821,Hi,,,6,,,,,,,,,low,4360.046167047927,,,,,,,,,,,,,,,,,13678,2022-12-02_14h59.49.142,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.329188053994905,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,6,0,22,0,22,0,,,,,,,,,,,,,,,,1,1380,,,4365.985795262037,,H,167,circle,0.0013128099963068962,,,,,1,0,,,,,,,,,,,,,4362.515271412907,4362.515271412907,4362.515271412907,4362.515271412907,4364.016955048079,4364.016955048079,4364.016955048079,4364.016955048079,4364.016955048079,4364.016955048079,4364.016955048079,4364.016955048079,repeat,number,numRpt,k,0.41896808007732034,Lo,,,6,,,,,,,,,low,4364.484003013,,,,,,,,,,,,,,,,,13678,2022-12-02_14h59.49.142,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.329188053994905,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,6,0,23,0,23,0,,,,,,,,,,,,,,,,0,1380,,,4370.4406894079875,,B,174,triangle,0.0013499690685421228,,,,,0,0,,,,,,,,,,,,,4366.970226126956,4366.970226126956,4366.970226126956,4366.970226126956,4368.471776447957,4368.471776447957,4368.471776447957,4368.471776447957,4368.471776447957,4368.471776447957,4368.471776447957,4368.471776447957,repeat,number,NA,j,0.41955085401423275,Lo,,,6,,,,,,,,,low,4368.939058524091,,,,,,,,,,,,,,,,,13678,2022-12-02_14h59.49.142,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.329188053994905,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,6,0,24,0,24,0,,,,,,,,,,,,,,,,0,1380,,,4375.229427956976,,S,167,triangle,0.0013773259706795216,,,,,1,1,,,,,,,,,,,,,4371.425025759963,4371.425025759963,4371.425025759963,4371.425025759963,4372.926692774985,4372.926692774985,4372.926692774985,4372.926692774985,4372.926692774985,4372.926692774985,4372.926692774985,4372.926692774985,switch,letter,lettSwt,f,0.7800173668656498,Hi,,,6,,,,,,,,,low,4373.74428663007,,,,,,,,,,,,,,,,,13678,2022-12-02_14h59.49.142,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.329188053994905,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,6,0,25,0,25,0,,,,,,,,,,,,,,,,1,1381,,,4379.717560362071,,U,132,hexagon,0.0013293179217725992,,,,,1,0,,,,,,,,,,,,,4376.213739434024,4376.213739434024,4376.213739434024,4376.213739434024,4377.715372249018,4377.715372249018,4377.715372249018,4377.715372249018,4377.715372249018,4377.715372249018,4377.715372249018,4377.715372249018,repeat,letter,lettRpt,f,0.4571930537931621,Lo,,,6,,,,,,,,,low,4378.215995989973,,,,,,,,,,,,,,,,,13678,2022-12-02_14h59.49.142,vts_reward_expectancy_bt_OFFLINE,2022.2.4,60.329188053994905,
